Regione,ATI14,AT14,AA14,AS14,ATOT14,ATI15,AT15,AA15,AS15,ATOT15,ATI16,AT16,AA16,AS16,ATOT16,CTI14,CRT14,CA14,CRS14,CTOT14,CTI15,CRT15,CA15,CRS15,CTOT15,CTI16,CRT16,CA16,CRS16,CTOT16,RTTI14,TATI14,TTOT14,RTTI15,TATI15,TTOT15,RTTI16,TATI16,TTOT16
PIEMONTE,1.35115459,5.14934419,0.43118934,0.3774569,7.30914502,2.60426849,5.21615372,0.33615348,0.40380005,8.56037575,1.57091588,5.70006762,0.43496662,0.45696812,8.16291824,2.2999244,4.68362544,0.27017232,0.3618826,7.61560477,2.3346993,4.73722598,0.25329605,0.414468,7.73968932,2.21143415,4.75793132,0.22246714,0.43748692,7.62931952,0.56536268,0.14260284,0.70796552,1.04078073,0.17559177,1.2163725,0.64383325,0.17147089,0.81530414
VALLE D'AOSTA,1.69451983,6.74463998,0.80332216,5.50582856,14.74831053,2.84182138,6.39526727,0.75605232,5.56283029,15.55597125,1.62021221,8.57934956,0.81521099,5.57610599,16.59087875,2.55616645,6.58133151,0.69211687,5.27719669,15.10681152,2.75452462,6.00554958,0.6477108,5.67428954,15.08207455,2.67103331,7.36045991,0.51363005,5.11352481,15.65864807,0.52258712,0.16253081,0.68511793,1.00858938,0.18160844,1.19019782,0.54268863,0.14215143,0.68484006
LIGURIA,1.4696543,6.35683905,0.55014671,0.8501582,9.22679826,2.59148354,6.24874073,0.4199555,0.84704815,10.10722792,1.60446529,6.92891965,0.4884622,0.85503163,9.87687876,2.29895743,5.71730449,0.40365868,0.83219269,9.2521133,2.49465818,5.72715967,0.35249987,0.84363748,9.4179552,2.26064939,5.85467199,0.3070552,0.84331974,9.26569632,0.56145367,0.14391255,0.70536622,0.94513672,0.1644073,1.10954402,0.57840187,0.15308204,0.73148392
LOMBARDIA,2.39285571,6.98708775,0.425141,0.40691251,10.21199698,3.93190181,7.51115583,0.32738439,0.4344164,12.20485843,2.64509161,7.64671576,0.40919836,0.41639235,11.11739808,3.45734758,6.0802152,0.24439015,0.39430898,10.17626191,3.58734191,6.67561433,0.24198672,0.43866529,10.94360825,3.32559346,6.27389193,0.20879568,0.40771959,10.21600066,0.79140538,0.1338561,0.92526147,1.35818483,0.17193504,1.53011987,0.87185209,0.16704054,1.03889263
TRENTINO ALTO-ADIGE,1.5326962,6.02371416,0.56547265,7.13096041,15.25284341,2.63588245,6.17166802,0.49692479,7.24870033,16.55317558,1.75448535,7.12586181,0.57500892,7.45443833,16.90979441,2.6117113,5.29385883,0.37342533,7.02058513,15.29958059,2.80687443,5.40328992,0.35576907,7.17241015,15.73834356,2.75985399,5.80324686,0.34632721,7.15730318,16.06673125,0.81228272,0.15607385,0.96835657,1.3305461,0.16051152,1.49105762,0.91661521,0.16513803,1.08175324
VENETO,1.65916419,5.64029359,0.55699236,1.36859125,9.2250414,2.97508156,5.94742345,0.48195915,1.44076341,10.84522757,1.87897638,6.72556923,0.60439993,1.38204069,10.59098623,2.87075756,4.87310471,0.34746565,1.3383689,9.42969681,3.00600942,5.22575309,0.32740103,1.4315297,9.99069323,2.79805816,5.3749011,0.31665535,1.35866386,9.84827847,0.71894273,0.19219301,0.91113575,1.26980783,0.24679377,1.5166016,0.87869622,0.21863135,1.09732757
FRIULI-VENEZIA-GIULIA,1.106508,5.48706932,0.37881407,0.7251723,7.6975637,2.50708569,5.68354247,0.28293845,0.80228372,9.27585032,1.47614922,6.30673639,0.37225131,0.78610043,8.94123735,2.33153267,4.84519218,0.2407751,0.72639245,8.14389241,2.42812043,5.08392809,0.22035299,0.79364562,8.52604712,2.33832125,5.14068741,0.20512308,0.77488213,8.45901387,0.67563445,0.1134734,0.78910786,1.12352317,0.12965296,1.25317613,0.80968345,0.14256259,0.95224604
EMILIA-ROMAGNA,1.68173744,6.57309337,0.55314984,1.83455928,10.64253993,3.0496968,6.55873442,0.45491436,1.81120897,11.87455455,1.93141142,7.59350075,0.55456813,1.63108405,11.71056436,2.75400924,5.83574767,0.36872908,1.81778149,10.77626748,2.91847582,5.83043554,0.3363661,1.79494116,10.88021862,2.75485562,6.17380814,0.30084444,1.61586423,10.84537243,0.72603306,0.15489095,0.88092401,1.3436219,0.20226904,1.54589094,0.85147835,0.19938644,1.05086479
TOSCANA,2.24145456,6.00254205,0.54285936,1.10587597,9.89273195,3.49560604,5.88740662,0.43662432,1.1386075,10.95824449,2.25090922,6.42298174,0.54211652,1.03573392,10.2517414,2.89717854,5.38665265,0.36874975,1.10160989,9.75419083,3.07249216,5.33361189,0.33864033,1.13138595,9.87613033,2.80055699,5.3578172,0.30605721,1.01519657,9.47962797,0.61570277,0.16376435,0.77946712,1.09138759,0.18197787,1.27336546,0.73050461,0.17401996,0.90452457
UMBRIA,1.3295909,4.56597327,0.52188924,0.331645,6.7490984,2.67143665,4.49337366,0.42089405,0.39407127,7.97977563,1.44471213,5.03657506,0.53120522,0.32182015,7.33431256,2.40905411,4.12537831,0.35985824,0.3625346,7.25682526,2.31737602,4.05225077,0.31874398,0.40837675,7.09674751,2.09014779,4.21496868,0.27637483,0.28692263,6.86841394,0.51698259,0.18600668,0.70298927,0.91018617,0.22207023,1.1322564,0.54197744,0.19838843,0.74036587
