"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",997,995,70,628,661,53,751,829,59,1029,1088,66
"Belgium",2209,2212,136,2170,2352,135,2381,2644,136,2784,3026,145
"Bulgaria",220,89,171,418,159,158,532,236,144,657,314,166
"Croatia",NA,NA,NA,NA,NA,NA,1728,1217,168,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1825,1621,173,1281,1154,134
"Czech Rep.",511,264,135,708,431,150,1005,728,157,1196,762,164
"Denmark",1894,2440,132,2155,2955,138,2479,3386,138,2654,3693,141
"Estonia",399,209,139,528,338,136,690,474,143,893,676,165
"Finland",1326,1573,139,1660,1936,142,1888,2255,143,2079,2543,149
"France",1569,1574,114,1536,1702,134,1896,2130,133,2124,2287,133
"Germany",1385,1433,96,1655,1701,98,1349,1409,91,1941,1970,111
"Greece",NA,NA,166,2096,1799,160,1784,1642,166,2370,2024,169
"Hungary",633,339,156,788,470,156,946,565,136,1055,607,138
"Iceland",NA,NA,NA,1483,2224,158,1536,1640,151,1815,2142,151
"Ireland",1339,1579,126,1651,1996,136,2020,2234,127,1670,2042,132
"Italy",2166,2034,166,2247,2299,168,2187,2238,155,2215,2280,156
"Latvia",419,211,161,548,315,160,517,470,149,819,575,157
"Lithuania",386,190,152,554,299,164,555,328,134,753,472,160
"Luxembourg",2541,2600,151,2019,2267,128,NA,NA,NA,2026,2440,133
"Macedonia",NA,NA,NA,NA,NA,NA,1580,612,168,1008,469,183
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1408,1138,149
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1371,761,179
"Netherlands",1408,1436,108,1158,1234,95,1284,1430,95,1532,1682,105
"Norway",1748,2554,134,2145,2845,135,2215,3271,133,2498,3659,135
"Poland",837,495,182,705,410,128,1070,639,141,1549,865,174
"Portugal",1098,841,166,1187,964,164,1630,1352,166,1733,1411,167
"Romania",559,230,189,443,221,159,602,298,147,680,361,157
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,670,185
"Slovakia",308,134,141,400,273,138,774,518,127,1009,684,158
"Slovenia",NA,NA,NA,NA,NA,NA,1909,1606,170,2110,1723,177
"Spain",1756,1496,168,1484,1340,145,1469,1382,122,1588,1466,144
"Sweden",1448,1812,146,1728,2083,148,1992,2464,155,2308,2898,157
"Switzerland",NA,NA,NA,NA,NA,NA,2360,3385,129,2329,3467,110
"Turkey",NA,NA,NA,1694,974,199,1787,1104,199,856,512,192
"United Kingdom",1240,1424,113,1330,1501,116,1183,1250,107,1218,1480,112
