"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Elementary occupations","60 years or over","Females",324,324,45,345,362,45,411,454,52,493,522,54
"Belgium","Business economy","Elementary occupations","60 years or over","Females",849,850,90,897,973,94,1078,1197,95,1304,1418,100
"Bulgaria","Business economy","Elementary occupations","60 years or over","Females",165,67,149,230,88,135,321,142,130,388,186,144
"Croatia","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,791,557,155,NA,NA,NA
"Cyprus","Business economy","Elementary occupations","60 years or over","Females",954,875,167,695,1051,166,1247,1108,165,1028,926,159
"Czech Rep.","Business economy","Elementary occupations","60 years or over","Females",354,183,129,467,284,137,542,392,142,699,445,154
"Denmark","Business economy","Elementary occupations","60 years or over","Females",1015,1307,81,1193,1637,89,1408,1922,92,1413,1966,91
"Estonia","Business economy","Elementary occupations","60 years or over","Females",257,135,140,312,200,125,422,290,127,543,410,139
"Finland","Business economy","Elementary occupations","60 years or over","Females",1007,1195,127,1192,1390,131,1356,1620,139,1498,1832,146
"France","Business economy","Elementary occupations","60 years or over","Females",596,598,66,735,815,77,879,988,90,1139,1227,104
"Germany","Business economy","Elementary occupations","60 years or over","Females",477,494,51,563,579,58,575,600,63,528,536,56
"Greece","Business economy","Elementary occupations","60 years or over","Females",965,806,152,1363,1170,150,1055,971,137,858,733,132
"Hungary","Business economy","Elementary occupations","60 years or over","Females",447,239,134,472,282,127,537,321,120,688,396,129
"Iceland","Business economy","Elementary occupations","60 years or over","Females",1023,1339,149,1164,1745,147,1221,1304,153,1570,1853,162
"Ireland","Business economy","Elementary occupations","60 years or over","Females",813,959,93,1123,1357,111,946,1047,107,924,1129,103
"Italy","Business economy","Elementary occupations","60 years or over","Females",919,863,130,NA,NA,NA,1059,1083,121,849,874,105
"Latvia","Business economy","Elementary occupations","60 years or over","Females",300,152,166,327,188,156,355,323,146,518,363,145
"Lithuania","Business economy","Elementary occupations","60 years or over","Females",252,124,142,347,188,141,334,198,112,419,263,130
"Luxembourg","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,1008,1131,96,NA,NA,NA,974,1173,95
"Macedonia","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,792,307,166,604,281,177
"Malta","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,1087,795,153,862,697,118
"Montenegro","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Business economy","Elementary occupations","60 years or over","Females",573,584,53,587,626,71,640,714,65,733,805,70
"Norway","Business economy","Elementary occupations","60 years or over","Females",1127,1647,94,1200,1591,91,1383,2043,96,1586,2324,102
"Poland","Business economy","Elementary occupations","60 years or over","Females",504,298,182,442,257,132,538,322,135,847,473,169
"Portugal","Business economy","Elementary occupations","60 years or over","Females",604,463,134,615,500,156,604,501,127,524,427,115
"Romania","Business economy","Elementary occupations","60 years or over","Females",214,88,184,275,137,147,489,242,160,487,259,161
"Serbia","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,956,483,184
"Slovakia","Business economy","Elementary occupations","60 years or over","Females",322,140,149,281,192,117,438,293,111,642,435,149
"Slovenia","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,1068,899,167,1130,923,157
"Spain","Business economy","Elementary occupations","60 years or over","Females",725,618,120,816,737,115,862,811,111,845,780,106
"Sweden","Business economy","Elementary occupations","60 years or over","Females",1094,1369,130,1240,1494,130,1385,1714,132,1584,1988,134
"Switzerland","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,1200,1721,101,1130,1682,73
"Turkey","Business economy","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,732,438,196
"United Kingdom","Business economy","Elementary occupations","60 years or over","Females",673,773,87,1079,1217,122,689,728,86,710,863,88
