"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",707,705,59,565,594,52,739,815,58,912,965,64
"Belgium",1511,1513,111,1806,1957,124,2052,2278,122,2411,2620,126
"Bulgaria",301,122,162,385,147,145,519,231,143,628,301,157
"Croatia",NA,NA,NA,NA,NA,NA,1801,1268,166,NA,NA,NA
"Cyprus",1026,940,168,787,1191,168,1526,1355,168,1337,1204,160
"Czech Rep.",533,276,140,807,490,150,1005,727,155,1222,778,160
"Denmark",1585,2041,110,1994,2735,124,2361,3225,125,2535,3528,125
"Estonia",442,231,155,541,345,145,703,483,143,865,654,160
"Finland",1337,1586,140,1663,1939,140,1924,2299,143,2167,2651,148
"France",3154,3165,108,1742,1931,115,2148,2414,127,2448,2637,132
"Germany",885,916,70,1119,1150,79,1227,1282,88,1376,1396,91
"Greece",1227,1024,158,1686,1447,153,1744,1605,151,1852,1582,151
"Hungary",669,359,149,819,489,145,945,565,133,1030,593,138
"Iceland",1074,1407,146,1519,2277,156,1519,1623,152,1912,2256,152
"Ireland",1118,1318,114,1367,1653,121,1769,1956,126,1425,1743,118
"Italy",1627,1528,146,1514,1549,130,1752,1793,136,1731,1782,135
"Latvia",414,209,165,523,300,161,527,479,148,788,553,154
"Lithuania",454,223,152,607,328,149,588,348,128,779,489,153
"Luxembourg",2195,2246,137,2783,3124,115,2097,2537,137,2045,2463,122
"Macedonia",NA,NA,NA,NA,NA,NA,1395,540,169,1219,567,182
"Malta",NA,NA,NA,NA,NA,NA,1398,1023,149,1338,1082,135
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1774,984,179
"Netherlands",825,841,79,972,1036,86,1069,1191,84,1366,1500,95
"Norway",1576,2302,121,2000,2651,126,2143,3166,125,2502,3664,128
"Poland",1086,642,180,997,579,134,1264,755,141,1787,998,174
"Portugal",823,630,150,836,679,165,1075,891,148,1152,938,145
"Romania",539,222,177,647,323,155,819,406,150,922,490,161
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1450,731,185
"Slovakia",446,194,147,500,341,132,934,625,134,1051,713,155
"Slovenia",NA,NA,NA,2638,1969,170,2577,2168,166,2872,2345,171
"Spain",1172,999,141,1220,1101,130,1219,1147,119,1291,1192,120
"Sweden",1465,1834,142,1858,2238,146,2073,2564,150,2479,3112,151
"Switzerland",NA,NA,NA,NA,NA,NA,1770,2539,112,2203,3279,106
"Turkey",NA,NA,NA,1209,695,199,1419,877,196,962,575,192
"United Kingdom",1037,1190,105,1217,1374,110,1136,1200,103,1258,1529,110
