"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1811,1904,132,1317,1454,90,1561,1652,99
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,2225,2412,144,2369,2630,133,2399,2608,123
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,372,142,149,573,254,152,679,325,171
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1454,1024,165,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",481,249,124,661,402,138,933,675,152,1073,683,159
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1993,2733,132,2391,3266,136,2565,3569,138
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,491,314,158,587,403,145,678,512,159
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1445,1685,134,1686,2014,140,1785,2183,140
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1849,2049,128,1571,1766,133,1727,1860,133
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1593,1638,100,1471,1536,97,1839,1867,111
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1728,1591,170,1452,1240,165
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",508,272,161,765,456,154,853,509,149,957,550,146
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",NA,NA,NA,1248,1871,149,1252,1337,150,1427,1685,142
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","60 years or over","Females",1569,1849,115,1700,2055,119,1993,2204,123,1850,2263,117
