"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",NA,NA,NA,659,401,154,831,601,165,916,583,169
"Denmark",NA,NA,NA,2056,2819,134,2060,2813,120,2667,3711,136
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,702,531,175
"Finland",NA,NA,NA,NA,NA,NA,1753,2094,163,1839,2249,159
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,1677,1806,140
"Germany",NA,NA,NA,1216,1250,79,1175,1227,100,1438,1460,106
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",549,294,172,479,286,147,620,370,140,765,440,160
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,1859,1903,155,1136,1170,147
"Latvia",NA,NA,NA,363,209,166,398,362,147,551,386,138
"Lithuania",NA,NA,NA,446,241,162,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",NA,NA,NA,1893,2509,133,1999,2952,126,2129,3118,129
"Poland",NA,NA,NA,520,302,NA,NA,NA,NA,NA,NA,NA
"Portugal",NA,NA,NA,870,706,NA,NA,NA,NA,NA,NA,NA
"Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,617,328,188
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,834,565,167
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,1594,1471,162
"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,2210,3169,132,2568,3822,105
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
