"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,565,595,68,422,466,53,741,784,73
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,1083,1174,109,1284,1426,107,1394,1515,111
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",156,63,147,273,104,161,382,170,143,481,230,169
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,883,622,160,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,820,1241,162,1337,1187,167,1239,1116,148
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",363,188,133,436,265,132,604,437,157,631,402,159
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,1425,1955,114,1734,2368,120,1776,2472,122
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,296,189,146,404,277,143,483,365,159
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,1321,1541,140,1484,1773,143,1568,1917,144
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,860,953,94,978,1099,103,1087,1171,107
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,921,947,82,889,929,79,834,846,74
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,1622,1392,161,1404,1292,173,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",417,223,162,561,335,149,609,364,139,661,380,148
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,961,1441,125,1004,1072,124,1205,1422,125
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,898,1086,75,1499,1657,119,1360,1663,109
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,1777,1818,105,1550,1586,149,1500,1544,157
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Elementary occupations","60 years or over","Females",NA,NA,NA,310,178,166,317,288,157,469,329,168
