"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,3356,3703,152,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,1187,452,150,1410,626,168,1446,692,179
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",1192,616,143,1818,1105,161,2086,1510,167,2368,1509,171
"Denmark",NA,NA,NA,3390,4649,154,4065,5551,158,4218,5869,157
"Estonia",NA,NA,NA,1074,686,169,1521,1045,162,1692,1279,181
"Finland",NA,NA,NA,NA,NA,151,3482,4160,154,3783,4627,150
"France",NA,NA,NA,2984,3307,147,4215,4736,159,3776,4066,144
"Germany",NA,NA,NA,2975,3059,125,3283,3429,116,4989,5063,150
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,4088,3492,224
"Hungary",1565,839,184,1945,1161,175,2241,1339,165,2336,1344,171
"Iceland",NA,NA,NA,2472,3706,161,NA,NA,176,3367,3974,177
"Ireland",NA,NA,NA,4183,5057,169,3151,3484,147,2943,3598,129
"Italy",NA,NA,NA,5348,5472,129,NA,NA,151,4967,5113,159
"Latvia",NA,NA,NA,1136,653,167,967,879,160,1416,993,175
"Lithuania",846,417,179,1162,628,169,1393,824,167,1704,1069,178
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1793,834,183
"Malta",NA,NA,NA,NA,NA,NA,2119,1549,130,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,3069,3271,142,3106,3460,NA,3531,3878,130
"Norway",NA,NA,NA,3428,4545,153,3569,5271,152,4087,5985,154
"Poland",1820,1076,179,2069,1202,166,2261,1351,163,2606,1455,178
"Portugal",NA,NA,NA,3925,3189,165,2738,2269,159,2445,1992,156
"Romania",NA,NA,186,1967,982,178,2172,1076,162,2266,1204,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1704,859,183
"Slovakia",1223,531,178,1191,812,164,1973,1320,157,1916,1299,166
"Slovenia",NA,NA,NA,NA,NA,NA,3883,3266,167,5374,4388,162
"Spain",NA,NA,NA,3776,3410,164,3546,3336,154,2483,2292,104
"Sweden",NA,NA,NA,2917,3515,160,3320,4107,166,3963,4976,168
"Switzerland",NA,NA,NA,NA,NA,NA,4515,6475,146,4696,6991,144
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",2212,2540,144,2917,3292,138,2455,2595,129,2615,3177,140
