"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,NA,3356,3703,152,NA,NA,NA
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,1187,452,150,1410,626,168,1446,692,179
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",1192,616,143,1818,1105,161,2086,1510,167,2368,1509,171
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,3390,4649,154,4065,5551,158,4218,5869,157
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,1074,686,169,1521,1045,162,1692,1279,181
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,151,3482,4160,154,3783,4627,150
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,2984,3307,147,4215,4736,159,3776,4066,144
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,2975,3059,125,3283,3429,116,4989,5063,150
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,4088,3492,224
