"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1717,1806,102,1908,2106,98,1986,2101,95
"Belgium",NA,NA,NA,2249,2438,124,2676,2971,125,2738,2976,115
"Bulgaria",530,215,162,627,239,156,785,348,155,881,422,170
"Croatia",NA,NA,NA,NA,NA,NA,1976,1392,162,NA,NA,NA
"Cyprus",NA,NA,NA,1508,2282,150,2948,2618,161,3056,2753,147
"Czech Rep.",766,396,134,1054,641,142,1315,952,161,1392,887,160
"Denmark",NA,NA,NA,2237,3068,132,2725,3722,137,2799,3895,135
"Estonia",NA,NA,NA,665,425,147,878,603,139,986,746,152
"Finland",NA,NA,NA,1777,2073,140,2057,2458,145,2229,2726,146
"France",NA,NA,NA,2444,2708,128,2323,2611,128,2502,2695,132
"Germany",NA,NA,NA,2096,2155,108,2142,2238,108,2392,2427,119
"Greece",NA,NA,NA,2734,2347,172,2731,2514,160,2734,2336,163
"Hungary",913,489,168,1272,760,160,1398,835,149,1552,893,160
"Iceland",NA,NA,NA,1583,2374,145,1472,1572,141,1799,2123,137
"Ireland",1956,2306,99,2424,2931,114,2454,2713,121,2154,2633,117
"Italy",NA,NA,NA,2331,2385,112,2728,2792,122,2634,2711,119
"Latvia",NA,NA,NA,726,417,153,592,538,146,867,608,155
"Lithuania",513,253,131,751,406,136,942,557,135,949,595,143
"Luxembourg",NA,NA,NA,NA,NA,142,3997,4835,NA,4496,5415,136
"Macedonia",NA,NA,NA,NA,NA,NA,1527,592,168,1315,611,183
"Malta",NA,NA,NA,788,1267,152,1608,1176,NA,1728,1398,134
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1470,815,174
"Netherlands",1535,1566,NA,1410,1503,92,1619,1804,92,1900,2087,102
"Norway",NA,NA,NA,2298,3046,127,2189,3233,116,2494,3653,118
"Poland",1299,768,156,1257,731,117,1698,1015,127,1855,1036,155
"Portugal",NA,NA,NA,2180,1771,156,2039,1691,155,1838,1497,161
"Romania",819,337,175,1241,620,171,1136,563,161,1278,679,176
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1363,688,179
"Slovakia",666,290,142,666,454,133,1021,683,137,1309,888,155
"Slovenia",3230,2218,176,3475,2594,178,3499,2944,166,3401,2777,174
"Spain",1723,1469,153,1831,1654,131,2034,1913,126,2180,2012,137
"Sweden",NA,NA,NA,1761,2122,138,1988,2459,143,2283,2867,142
"Switzerland",NA,NA,NA,NA,NA,NA,2192,3144,104,2552,3799,108
"Turkey",NA,NA,NA,3082,1772,189,NA,NA,NA,3265,1953,188
"United Kingdom",1255,1441,99,1577,1779,102,1552,1640,105,1521,1848,109
