"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2475,2602,91,3253,3590,114,3240,3429,117
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,3318,3684,129,4099,4456,123
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",726,294,167,850,324,157,882,392,152,940,450,169
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,1850,2800,137,5027,4465,155,3825,3445,145
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",887,459,131,1172,712,135,1503,1088,160,1582,1008,158
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2653,3639,133,3070,4193,140,3127,4351,138
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,803,513,132,1038,713,124,1160,877,138
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2419,2822,136,2743,3277,144,2988,3654,145
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2955,3275,131,2949,3314,123,3180,3424,133
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2838,2918,115,2669,2788,114,3292,3341,129
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,4183,3591,150,3130,2881,149,3026,2585,151
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",1026,550,165,1534,916,156,1621,968,142,1874,1078,166
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2130,3193,153,NA,NA,NA,2096,2473,140
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",2345,2765,102,3025,3656,118,NA,NA,NA,2831,3462,117
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2640,2701,92,3024,3094,108,2903,2988,103
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,876,503,146,649,589,137,917,643,149
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",574,283,112,823,445,121,1025,606,126,999,626,130
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1417,659,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,1580,1155,106,1813,1467,130
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1537,853,173
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",2154,2197,97,1710,1822,98,2163,2410,103,2419,2656,110
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,2681,3554,135,2649,3912,127,2938,4303,128
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",1413,835,143,1319,767,110,1768,1057,118,2018,1127,139
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,3339,2713,152,3306,2741,148,3233,2633,151
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",873,359,174,1628,813,173,1347,668,162,1368,727,175
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,760,177
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Professionals","60 years or over","Females",NA,NA,NA,715,488,130,1127,754,133,1398,948,152
