"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,515,246,154
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",456,236,143,581,354,143,789,571,170,839,534,169
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,1987,2726,134,2246,3068,129,2455,3416,136
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,394,252,151,511,351,151,701,530,177
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,1240,1447,140,1464,1749,156,1638,2004,148
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1245,1399,121,1674,1802,140
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,895,920,77,992,1036,99,1008,1023,99
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,169,533,318,158,687,410,141,717,412,154
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1283,1419,124,NA,NA,NA
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1765,1806,158,1250,1287,153
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,373,214,164,346,315,147,545,382,145
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,386,208,160,NA,NA,NA,795,498,174
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1403,1563,94,NA,NA,NA
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,1830,2427,136,1730,2554,121,1906,2792,123
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,873,709,NA,691,573,160,970,790,174
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,167,627,333,187
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,301,205,116,646,432,129,729,494,160
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,171,1330,1201,161,1247,1174,152,1376,1270,156
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,1363,1642,140,1602,1982,151,1771,2224,144
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,2013,2887,123,1952,2906,115
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Skilled manual workers","60 years or over","Females",804,923,107,NA,NA,NA,NA,NA,NA,867,1054,84
