"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1392,1464,93,1630,1799,90,1786,1890,92
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1991,2159,121,2408,2673,122,2461,2675,114
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",476,193,160,569,217,157,741,329,153,839,402,169
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,NA,NA,NA,1835,1292,162,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1226,1856,155,2317,2058,164,2562,2307,148
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",642,332,134,914,556,140,1217,880,160,1302,829,160
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,2161,2965,130,2649,3617,136,2738,3810,134
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,561,358,147,777,534,140,896,677,154
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1696,1978,140,1978,2363,145,2161,2643,145
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,2107,2335,123,2150,2416,125,2295,2471,130
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1880,1933,103,1958,2045,104,2141,2172,112
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,2396,2056,169,2545,2342,162,2669,2280,163
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",737,395,166,1063,635,157,1168,698,146,1389,799,158
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1515,2272,143,1432,1530,139,1763,2080,136
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",1623,1914,97,2236,2703,109,2375,2626,121,2054,2512,116
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,2299,2353,112,2686,2748,124,2469,2542,125
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,616,354,157,526,478,149,773,542,158
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",437,215,136,657,355,141,834,493,137,865,542,148
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,3238,3635,140,3225,3901,135,4253,5123,142
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,NA,NA,NA,1405,544,168,1233,573,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,742,1192,149,1562,1142,NA,1689,1367,135
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1317,730,174
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",1373,1401,78,1329,1416,90,1549,1726,90,1777,1952,99
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,2249,2982,126,2152,3178,116,2455,3596,118
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",1191,704,160,1155,671,120,1565,935,131,1657,925,159
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1681,1366,156,1741,1443,153,1558,1269,162
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",802,330,174,1198,598,170,1103,546,162,1240,659,175
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1311,661,179
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",548,238,146,598,408,132,960,642,136,1191,807,154
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",3230,2218,176,3351,2501,178,3366,2832,167,3128,2554,174
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",1542,1314,153,1692,1528,133,1921,1807,127,2052,1894,138
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,1715,2067,137,1949,2411,142,2248,2823,141
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,NA,NA,NA,2095,3005,104,2446,3641,106
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",NA,NA,NA,3064,1762,189,2013,1244,187,3239,1937,188
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Total","60 years or over","Females",1109,1273,95,1360,1535,95,1400,1479,99,1408,1710,104
