"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",368,367,50,700,736,66,363,400,42,631,667,69
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",NA,NA,NA,372,142,150,349,155,138,451,216,153
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",393,203,138,502,305,148,629,456,158,759,483,160
"Denmark",1051,1354,85,1302,1786,99,1686,2302,100,1802,2507,106
"Estonia",360,189,167,366,234,138,439,302,124,755,571,164
"Finland",NA,NA,NA,NA,NA,NA,1622,1937,141,1802,2203,140
"France",NA,NA,NA,NA,NA,NA,1655,1860,133,1126,1212,102
"Germany",651,673,73,664,683,72,819,856,83,942,956,91
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",472,253,140,432,258,136,765,457,134,831,478,134
"Iceland",NA,NA,NA,NA,NA,NA,1715,1832,162,2121,2504,182
"Ireland",NA,NA,NA,NA,NA,NA,1325,1465,133,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,1040,1064,114,NA,NA,NA
"Latvia",271,137,169,312,179,161,327,297,145,591,414,168
"Lithuania",NA,NA,NA,342,185,139,NA,NA,NA,519,325,169
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,1238,1380,103,1138,1250,87
"Norway",1357,1982,114,1835,2434,130,1583,2338,113,1892,2771,115
"Poland",434,257,179,299,174,103,523,313,106,997,557,186
"Portugal",NA,NA,NA,675,548,173,702,582,157,1004,818,172
"Romania",NA,NA,NA,NA,NA,NA,518,257,166,452,240,163
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,357,243,162,722,483,134,714,484,155
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",NA,NA,NA,947,855,156,NA,NA,NA,NA,NA,NA
"Sweden",1168,1462,135,1441,1736,127,1712,2118,136,1671,2098,122
"Switzerland",NA,NA,NA,NA,NA,NA,1357,1947,94,1813,2700,91
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",1089,1250,112,1342,1514,131,1007,1064,101,1115,1354,114
