"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",533,532,53,481,506,63,NA,NA,NA,1003,1061,109
"Belgium",NA,NA,NA,NA,NA,NA,1828,2029,141,2194,2385,137
"Bulgaria",228,92,168,335,128,148,NA,NA,NA,517,247,164
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",513,265,157,682,415,167,732,530,162,973,620,168
"Denmark",1729,2227,123,1956,2682,133,2291,3129,129,2392,3329,132
"Estonia",515,270,180,626,400,172,687,472,163,898,679,178
"Finland",1350,1601,151,1701,1984,156,1790,2138,154,2049,2506,158
"France",NA,NA,NA,1878,2081,147,1792,2014,143,1974,2125,149
"Germany",1278,1322,113,1131,1163,91,1368,1429,111,1814,1841,132
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",523,280,166,584,349,165,687,410,151,859,494,155
"Iceland",974,1275,NA,1391,2085,169,NA,NA,NA,1594,1882,155
"Ireland",NA,NA,143,1290,1559,136,1778,1966,152,1745,2134,145
"Italy",1065,1000,134,1051,1075,134,1239,1268,133,1502,1545,162
"Latvia",420,212,171,503,289,167,482,438,155,682,478,155
"Lithuania",402,198,164,569,307,161,NA,NA,NA,741,465,167
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,622,241,170,621,289,184
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,NA,NA,NA,1401,1561,127,1631,1791,134
"Norway",1613,2356,139,1933,2562,140,2066,3051,143,2261,3311,140
"Poland",474,280,179,546,317,147,667,399,150,1130,631,177
"Portugal",797,611,169,NA,NA,173,827,686,173,885,721,174
"Romania",271,111,190,NA,NA,NA,584,289,NA,536,285,161
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",401,174,149,409,279,161,747,500,157,915,621,169
"Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,1045,176
"Spain",1142,973,NA,1032,932,136,1069,1006,119,1118,1032,122
"Sweden",1362,1704,149,1670,2013,154,1845,2282,152,2274,2856,160
"Switzerland",NA,NA,NA,NA,NA,NA,1976,2834,141,2546,3791,150
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,710,425,198
"United Kingdom",1127,1294,141,1128,1273,129,1281,1353,136,1357,1649,155
