"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Skilled manual workers","60 years or over","Females",533,532,53,481,506,63,NA,NA,NA,1003,1061,109
"Belgium","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1828,2029,141,2194,2385,137
"Bulgaria","Industry and construction","Skilled manual workers","60 years or over","Females",228,92,168,335,128,148,NA,NA,NA,517,247,164
"Croatia","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Industry and construction","Skilled manual workers","60 years or over","Females",513,265,157,682,415,167,732,530,162,973,620,168
"Denmark","Industry and construction","Skilled manual workers","60 years or over","Females",1729,2227,123,1956,2682,133,2291,3129,129,2392,3329,132
"Estonia","Industry and construction","Skilled manual workers","60 years or over","Females",515,270,180,626,400,172,687,472,163,898,679,178
"Finland","Industry and construction","Skilled manual workers","60 years or over","Females",1350,1601,151,1701,1984,156,1790,2138,154,2049,2506,158
"France","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,1878,2081,147,1792,2014,143,1974,2125,149
"Germany","Industry and construction","Skilled manual workers","60 years or over","Females",1278,1322,113,1131,1163,91,1368,1429,111,1814,1841,132
"Greece","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Industry and construction","Skilled manual workers","60 years or over","Females",523,280,166,584,349,165,687,410,151,859,494,155
"Iceland","Industry and construction","Skilled manual workers","60 years or over","Females",974,1275,NA,1391,2085,169,NA,NA,NA,1594,1882,155
"Ireland","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,143,1290,1559,136,1778,1966,152,1745,2134,145
"Italy","Industry and construction","Skilled manual workers","60 years or over","Females",1065,1000,134,1051,1075,134,1239,1268,133,1502,1545,162
"Latvia","Industry and construction","Skilled manual workers","60 years or over","Females",420,212,171,503,289,167,482,438,155,682,478,155
"Lithuania","Industry and construction","Skilled manual workers","60 years or over","Females",402,198,164,569,307,161,NA,NA,NA,741,465,167
"Luxembourg","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,622,241,170,621,289,184
"Malta","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1401,1561,127,1631,1791,134
"Norway","Industry and construction","Skilled manual workers","60 years or over","Females",1613,2356,139,1933,2562,140,2066,3051,143,2261,3311,140
"Poland","Industry and construction","Skilled manual workers","60 years or over","Females",474,280,179,546,317,147,667,399,150,1130,631,177
"Portugal","Industry and construction","Skilled manual workers","60 years or over","Females",797,611,169,NA,NA,173,827,686,173,885,721,174
"Romania","Industry and construction","Skilled manual workers","60 years or over","Females",271,111,190,NA,NA,NA,584,289,NA,536,285,161
"Serbia","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Industry and construction","Skilled manual workers","60 years or over","Females",401,174,149,409,279,161,747,500,157,915,621,169
"Slovenia","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,1045,176
"Spain","Industry and construction","Skilled manual workers","60 years or over","Females",1142,973,NA,1032,932,136,1069,1006,119,1118,1032,122
"Sweden","Industry and construction","Skilled manual workers","60 years or over","Females",1362,1704,149,1670,2013,154,1845,2282,152,2274,2856,160
"Switzerland","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,1976,2834,141,2546,3791,150
"Turkey","Industry and construction","Skilled manual workers","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,710,425,198
"United Kingdom","Industry and construction","Skilled manual workers","60 years or over","Females",1127,1294,141,1128,1273,129,1281,1353,136,1357,1649,155
