"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,894,940,71,876,967,66,1127,1192,72
"Belgium",NA,NA,NA,2195,2380,139,2378,2640,135,2685,2918,140
"Bulgaria",208,84,159,408,155,156,542,240,146,663,318,168
"Croatia",NA,NA,NA,NA,NA,NA,1612,1135,167,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1756,1560,169,1341,1208,136
"Czech Rep.",496,256,129,692,421,146,979,709,155,1158,737,162
"Denmark",NA,NA,NA,2103,2884,136,2448,3343,137,2622,3648,140
"Estonia",NA,NA,NA,513,327,146,645,443,144,827,625,163
"Finland",NA,NA,NA,1583,1846,139,1808,2160,141,1967,2405,146
"France",NA,NA,NA,1622,1798,133,1787,2008,133,2039,2196,133
"Germany",NA,NA,NA,1636,1682,98,1379,1441,92,1916,1944,111
"Greece",NA,NA,NA,1943,1668,154,1765,1625,167,2029,1734,167
"Hungary",580,311,158,779,465,155,917,548,140,1037,597,139
"Iceland",NA,NA,NA,1401,2100,155,1458,1557,150,1651,1949,147
"Ireland",1425,1681,122,1667,2014,130,2006,2218,125,1766,2159,124
"Italy",NA,NA,NA,2009,2056,146,1985,2031,153,2059,2119,156
"Latvia",NA,NA,NA,519,298,161,510,463,151,787,552,157
"Lithuania",353,174,154,504,272,156,551,326,139,720,452,162
"Luxembourg",NA,NA,NA,2235,2509,129,NA,NA,NA,2289,2756,132
"Macedonia",NA,NA,NA,NA,NA,NA,1464,567,168,1002,466,184
"Malta",NA,NA,NA,NA,NA,NA,1356,992,149,1379,1115,142
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,701,177
"Netherlands",1368,1395,102,1184,1262,96,1259,1402,92,1551,1703,104
"Norway",NA,NA,NA,2087,2767,134,2097,3097,129,2365,3463,131
"Poland",834,493,182,752,437,129,1112,665,144,1496,835,173
"Portugal",NA,NA,NA,1200,975,160,1482,1229,160,1569,1278,165
"Romania",519,214,189,567,283,165,634,314,150,699,371,164
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,535,184
"Slovakia",323,140,143,382,260,133,770,515,130,984,667,158
"Slovenia",NA,NA,NA,1480,1105,175,1856,1561,169,2035,1662,178
"Spain",1846,1573,168,1597,1442,144,1581,1487,130,1695,1565,148
"Sweden",1448,1812,146,1630,1964,146,1831,2264,151,2157,2709,153
"Switzerland",NA,NA,NA,NA,NA,NA,2278,3268,124,2393,3562,112
"Turkey",NA,NA,NA,1694,974,199,1540,951,198,856,512,192
"United Kingdom",1205,1383,110,1313,1482,111,1140,1205,103,1126,1368,106
