"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,388,408,49,413,456,53,523,554,56
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1016,1101,103,1150,1277,99,1336,1452,104
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",163,66,148,240,92,141,334,148,133,409,196,150
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,850,599,158,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,722,1093,165,1265,1124,165,1078,971,156
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",358,185,131,452,275,134,566,410,148,669,426,156
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1290,1769,99,1574,2149,106,1579,2197,105
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,305,195,135,413,284,135,520,393,147
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1261,1471,136,1422,1699,141,1530,1871,145
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,783,867,84,917,1031,95,1116,1202,105
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,650,668,63,657,687,67,600,609,60
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1435,1232,153,1146,1055,146,902,770,135
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",430,230,150,521,311,139,566,338,128,682,392,134
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1033,1548,133,1079,1152,134,1345,1588,139
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",728,859,91,1051,1271,100,1210,1338,113,1145,1400,106
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1124,1151,101,1205,1234,129,1377,1418,147
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,319,183,161,335,304,152,492,345,157
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",240,118,148,335,181,151,367,217,134,467,293,151
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1166,1309,105,1351,1634,120,1571,1893,115
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,744,288,168,640,298,180
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,1110,811,144,946,765,129
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,631,350,175
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",651,664,54,635,677,72,693,772,67,769,844,71
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,1223,1622,93,1488,2197,101,1623,2377,104
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",519,307,182,480,279,134,602,360,142,897,501,172
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,858,697,156,702,582,135,632,515,133
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",201,83,NA,272,136,146,457,226,161,448,238,157
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,741,374,180
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",317,138,150,290,197,122,466,312,120,607,412,149
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",NA,NA,NA,770,575,157,1187,998,169,1098,896,168
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Elementary occupations","60 years or over","Females",770,657,126,896,809,121,900,847,115,910,840,112
