"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",944,942,73,628,660,58,782,863,63,1062,1124,67
"Belgium",1924,1927,131,2105,2282,128,2341,2599,135,2720,2957,143
"Bulgaria",206,83,169,443,169,153,516,229,137,627,300,160
"Croatia",NA,NA,NA,NA,NA,NA,1693,1192,170,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1884,1673,176,1273,1147,133
"Czech Rep.",481,249,130,705,429,146,1010,731,154,1207,769,163
"Denmark",1954,2516,135,2143,2939,137,2450,3347,137,2615,3638,140
"Estonia",379,199,130,481,307,128,640,440,137,859,649,162
"Finland",1310,1553,135,1632,1903,141,1898,2268,143,2053,2511,148
"France",1476,1481,113,1545,1712,139,1838,2066,131,2057,2215,133
"Germany",1350,1397,96,1597,1641,98,1327,1386,91,1897,1925,111
"Greece",1536,1282,NA,1818,1561,160,NA,NA,NA,2503,2138,170
"Hungary",620,332,156,778,465,155,934,558,137,1008,580,141
"Iceland",NA,NA,NA,1465,2196,158,1527,1631,152,1767,2086,149
"Ireland",1295,1527,118,1644,1987,134,1984,2194,122,1552,1898,126
"Italy",2507,2355,179,2274,2327,166,2235,2288,154,2177,2241,160
"Latvia",411,207,167,547,314,159,517,469,149,806,565,154
"Lithuania",353,174,143,491,265,154,NA,NA,NA,746,468,162
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,1910,2300,135
"Macedonia",NA,NA,NA,NA,NA,NA,1661,643,NA,1011,470,183
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1452,1175,145
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,105,1121,1195,91,1236,1377,92,1441,1583,101
"Norway",1721,2514,133,2115,2804,134,2173,3210,132,2455,3595,134
"Poland",915,541,184,702,408,128,1129,675,143,1541,860,174
"Portugal",991,758,164,1193,970,162,1784,1479,167,1898,1546,165
"Romania",615,253,NA,436,218,161,589,292,148,591,314,143
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1142,576,183
"Slovakia",304,132,140,354,241,124,766,512,124,1046,709,161
"Slovenia",NA,NA,NA,NA,NA,NA,1660,1396,168,2151,1757,179
"Spain",1704,1453,167,1517,1370,145,1430,1346,118,1584,1463,148
"Sweden",1427,1785,144,1723,2077,148,1981,2450,154,2264,2843,155
"Switzerland",NA,NA,NA,NA,NA,NA,2365,3392,127,2213,3294,106
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,603,188
"United Kingdom",1257,1444,114,1277,1441,113,1159,1224,104,1206,1465,111
