"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",920,918,67,759,798,61,1004,1108,65,1162,1229,69
"Belgium",1752,1754,121,1989,2156,125,2394,2658,130,2873,3122,136
"Bulgaria",469,190,169,493,188,147,634,281,145,785,376,162
"Croatia",NA,NA,NA,NA,NA,NA,2147,1512,168,NA,NA,NA
"Cyprus",NA,NA,170,898,1359,169,1725,1532,170,1506,1357,160
"Czech Rep.",659,341,143,1038,631,152,1228,889,156,1362,867,158
"Denmark",1678,2160,114,2102,2883,127,2479,3385,129,2677,3725,127
"Estonia",543,284,153,684,437,154,803,552,145,988,747,166
"Finland",1393,1652,137,1716,2001,138,2027,2422,141,2280,2788,145
"France",2256,2263,112,2050,2272,130,2485,2793,134,2816,3032,138
"Germany",1249,1292,91,1445,1485,93,1462,1527,96,1775,1802,107
"Greece",1737,1450,167,NA,NA,NA,2482,2285,162,2914,2490,165
"Hungary",910,488,159,1083,647,153,1283,766,137,1500,863,146
"Iceland",975,1276,141,1537,2304,155,1559,1665,149,1935,2284,147
"Ireland",1107,1305,114,1410,1704,121,1837,2031,124,1433,1752,116
"Italy",1602,1505,153,1895,1939,143,2236,2289,148,2256,2322,149
"Latvia",451,228,164,648,372,163,615,559,149,949,665,158
"Lithuania",588,290,154,752,406,148,695,411,133,930,584,157
"Luxembourg",NA,NA,NA,5200,5837,138,NA,NA,144,2627,3164,138
"Macedonia",NA,NA,NA,NA,NA,NA,1765,684,169,1454,676,182
"Malta",NA,NA,NA,609,979,123,NA,NA,145,1544,1249,138
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2094,1162,179
"Netherlands",NA,NA,91,1134,1209,88,1172,1305,87,1509,1658,100
"Norway",1660,2425,125,2056,2726,127,2223,3283,127,2574,3770,129
"Poland",1398,827,179,1237,719,136,1533,916,143,1915,1070,174
"Portugal",1208,925,165,1002,814,170,1712,1419,163,1974,1608,164
"Romania",580,239,174,744,371,156,879,435,146,1180,627,158
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1457,735,184
"Slovakia",493,214,145,643,438,138,1103,738,138,1155,783,154
"Slovenia",NA,NA,NA,3123,2331,178,3402,2862,166,3214,2624,173
"Spain",1825,1555,169,1775,1603,145,1524,1434,125,1689,1559,134
"Sweden",1531,1916,140,1951,2351,146,2201,2723,151,2622,3292,150
"Switzerland",NA,NA,NA,NA,NA,NA,1795,2575,110,2322,3457,109
"Turkey",NA,NA,NA,1712,985,197,NA,NA,NA,1223,731,180
"United Kingdom",1056,1213,104,1136,1282,103,1201,1269,104,1317,1600,109
