"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,1405,1550,81,1711,1810,93
"Belgium",NA,NA,NA,3041,3296,145,3037,3372,147,3617,3931,152
"Bulgaria",379,154,151,504,192,158,782,347,160,809,387,174
"Croatia",NA,NA,NA,NA,NA,NA,1827,1287,168,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,3015,2678,NA,1750,1577,171
"Czech Rep.",755,390,145,1107,673,154,1413,1023,157,1577,1005,163
"Denmark",2248,2895,135,2476,3396,136,2837,3874,142,3041,4231,144
"Estonia",598,313,156,740,473,156,955,656,147,1253,947,172
"Finland",1631,1935,147,1863,2173,143,2216,2647,146,2530,3094,151
"France",3455,3467,128,1538,1705,106,2256,2535,121,2658,2863,133
"Germany",1679,1737,104,1756,1805,102,2576,2691,123,2423,2459,122
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",915,491,155,1049,626,152,1242,742,137,1168,672,142
"Iceland",NA,NA,NA,2007,3009,163,1801,1924,156,2315,2733,161
"Ireland",1929,2274,121,2156,2606,139,NA,NA,NA,1951,2386,133
"Italy",NA,NA,NA,NA,NA,144,3114,3187,162,3126,3217,166
"Latvia",540,273,169,638,366,154,694,631,147,731,513,139
"Lithuania",572,282,152,804,434,142,1308,773,144,947,594,175
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,2789,3359,146
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,555,183
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,1622,1729,98,1724,1921,104,1864,2047,109
"Norway",2030,2965,140,2484,3293,144,2600,3840,140,2925,4285,141
"Poland",1040,615,181,910,529,127,1164,695,136,1568,875,173
"Portugal",NA,NA,NA,1884,1531,164,1687,1398,165,2871,2338,161
"Romania",646,266,184,441,220,145,731,362,134,761,405,159
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,559,184
"Slovakia",1178,512,159,860,586,152,1448,969,143,1141,774,137
"Slovenia",NA,NA,NA,NA,NA,NA,2945,2477,168,2754,2248,181
"Spain",2180,1858,171,2431,2196,157,2048,1926,136,2251,2077,140
"Sweden",1844,2308,151,2187,2635,152,2326,2877,151,2782,3493,156
"Switzerland",NA,NA,NA,NA,NA,NA,2555,3665,111,3256,4847,135
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",1099,1262,99,NA,NA,NA,1586,1676,122,1824,2216,134
