"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Clerical support workers","From 30 to 39 years","Females",1708,1705,142,1776,1868,140,1700,1876,132,1854,1962,132
"Belgium","Business economy","Clerical support workers","From 30 to 39 years","Females",1935,1937,156,2004,2173,151,2145,2381,147,2382,2589,159
"Bulgaria","Business economy","Clerical support workers","From 30 to 39 years","Females",304,123,180,437,167,173,690,306,162,757,362,179
"Croatia","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1405,990,167,NA,NA,NA
"Cyprus","Business economy","Clerical support workers","From 30 to 39 years","Females",1238,1134,167,959,1452,165,1775,1577,166,1586,1429,169
"Czech Rep.","Business economy","Clerical support workers","From 30 to 39 years","Females",700,362,164,910,553,165,1111,804,165,1246,794,165
"Denmark","Business economy","Clerical support workers","From 30 to 39 years","Females",2110,2717,150,2170,2977,145,2562,3498,148,2646,3681,147
"Estonia","Business economy","Clerical support workers","From 30 to 39 years","Females",664,348,178,806,515,170,977,672,159,1247,943,178
"Finland","Business economy","Clerical support workers","From 30 to 39 years","Females",1589,1885,161,1777,2073,157,1963,2345,156,2029,2482,156
"France","Business economy","Clerical support workers","From 30 to 39 years","Females",1446,1451,136,1491,1652,142,1584,1780,144,1836,1978,144
"Germany","Business economy","Clerical support workers","From 30 to 39 years","Females",2062,2134,141,2252,2315,139,1880,1964,130,2274,2307,139
"Greece","Business economy","Clerical support workers","From 30 to 39 years","Females",1224,1022,168,1425,1224,166,1487,1369,163,1436,1227,164
"Hungary","Business economy","Clerical support workers","From 30 to 39 years","Females",715,383,178,847,505,175,1192,712,162,1303,750,165
"Iceland","Business economy","Clerical support workers","From 30 to 39 years","Females",1549,2028,149,1665,2497,154,1715,1832,157,2030,2396,157
"Ireland","Business economy","Clerical support workers","From 30 to 39 years","Females",1800,2122,143,2118,2560,156,2290,2532,153,2202,2693,146
"Italy","Business economy","Clerical support workers","From 30 to 39 years","Females",1742,1637,166,1761,1802,160,1810,1853,155,1782,1834,164
"Latvia","Business economy","Clerical support workers","From 30 to 39 years","Females",507,256,173,660,379,168,563,512,154,910,638,163
"Lithuania","Business economy","Clerical support workers","From 30 to 39 years","Females",517,254,168,663,358,167,706,418,157,899,564,170
"Luxembourg","Business economy","Clerical support workers","From 30 to 39 years","Females",2470,2528,157,2218,2490,152,2452,2967,148,2431,2928,164
"Macedonia","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1189,460,166,959,446,178
"Malta","Business economy","Clerical support workers","From 30 to 39 years","Females",1332,962,159,685,1100,157,1598,1169,159,1590,1286,157
"Montenegro","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1196,663,177
"Netherlands","Business economy","Clerical support workers","From 30 to 39 years","Females",1360,1387,107,1392,1483,113,1582,1763,118,1651,1813,121
"Norway","Business economy","Clerical support workers","From 30 to 39 years","Females",1858,2713,143,2186,2899,143,2356,3480,144,2623,3841,146
"Poland","Business economy","Clerical support workers","From 30 to 39 years","Females",903,534,185,910,529,170,1133,677,162,1328,741,177
"Portugal","Business economy","Clerical support workers","From 30 to 39 years","Females",1211,927,167,1165,947,167,1265,1048,167,1312,1068,168
"Romania","Business economy","Clerical support workers","From 30 to 39 years","Females",472,194,182,613,306,175,774,384,167,806,428,178
"Serbia","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1093,552,183
"Slovakia","Business economy","Clerical support workers","From 30 to 39 years","Females",491,214,161,618,421,165,997,667,158,1154,782,167
"Slovenia","Business economy","Clerical support workers","From 30 to 39 years","Females",1316,904,168,1450,1082,175,1521,1279,163,1612,1316,168
"Spain","Business economy","Clerical support workers","From 30 to 39 years","Females",1287,1097,170,1328,1199,159,1469,1382,160,1508,1392,160
"Sweden","Business economy","Clerical support workers","From 30 to 39 years","Females",1504,1882,154,1772,2136,156,1987,2458,161,2266,2845,162
"Switzerland","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,2660,3815,147,2450,3648,132
"Turkey","Business economy","Clerical support workers","From 30 to 39 years","Females",NA,NA,NA,1336,769,194,1492,922,192,1360,813,194
"United Kingdom","Business economy","Clerical support workers","From 30 to 39 years","Females",1681,1930,134,1763,1990,134,1618,1710,132,1606,1951,136
