"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",982,980,128,966,1016,122,949,1047,119,1058,1120,120
"Belgium",1506,1508,150,1193,1294,120,1239,1376,114,1545,1679,122
"Bulgaria",215,87,178,293,112,172,403,179,155,469,224,177
"Croatia",NA,NA,NA,NA,NA,NA,756,533,165,NA,NA,NA
"Cyprus",905,829,167,613,928,172,1020,906,167,1039,936,171
"Czech Rep.",497,257,160,641,390,164,706,511,165,771,491,165
"Denmark",1438,1852,109,1319,1810,98,1558,2128,101,1299,1807,84
"Estonia",383,200,165,463,296,151,599,412,151,812,614,165
"Finland",1227,1455,148,1404,1637,156,1461,1746,153,1599,1955,159
"France",1027,1031,109,1102,1222,121,1095,1231,119,1392,1499,127
"Germany",1077,1114,104,992,1020,97,792,827,89,676,686,71
"Greece",834,696,156,1344,1154,164,1132,1042,155,907,775,146
"Hungary",480,257,172,531,317,168,588,351,152,733,422,159
"Iceland",1014,1328,156,1161,1741,154,1171,1251,151,1602,1891,165
"Ireland",1185,1398,128,1619,1957,135,1369,1514,131,1433,1752,124
"Italy",1011,950,134,959,981,124,1139,1165,135,965,994,120
"Latvia",353,178,171,426,245,162,366,333,142,570,400,144
"Lithuania",332,163,159,472,255,160,479,283,141,606,380,169
"Luxembourg",1098,1124,129,989,1110,111,1076,1301,117,1309,1577,130
"Macedonia",NA,NA,NA,NA,NA,NA,748,290,168,619,288,179
"Malta",1029,743,161,376,604,126,1065,779,154,839,679,121
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,790,438,165
"Netherlands",1001,1021,93,917,977,92,908,1012,93,892,980,86
"Norway",1637,2392,121,1456,1930,110,1520,2245,112,1574,2306,110
"Poland",563,333,187,579,336,168,715,427,162,912,509,177
"Portugal",633,484,146,679,551,167,668,553,147,750,611,156
"Romania",249,103,187,333,166,179,460,228,171,535,284,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,726,366,189
"Slovakia",428,186,163,434,296,162,640,428,156,767,520,168
"Slovenia",736,506,157,819,611,177,937,788,162,1054,861,172
"Spain",738,629,129,927,837,138,959,902,130,1000,923,127
"Sweden",1360,1702,148,1419,1709,146,1495,1849,145,1649,2071,141
"Switzerland",NA,NA,NA,NA,NA,NA,1331,1910,122,1539,2292,104
"Turkey",NA,NA,NA,642,369,198,741,458,203,755,451,199
"United Kingdom",1205,1383,125,1324,1494,133,900,951,109,946,1149,116
