"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1568,1565,138,1636,1720,137,1745,1926,134,1951,2064,134
"Belgium",2097,2100,157,2223,2410,150,2414,2680,147,2828,3074,158
"Bulgaria",384,156,181,596,227,172,916,406,163,1085,519,180
"Croatia",NA,NA,NA,NA,NA,NA,1475,1039,168,NA,NA,NA
"Cyprus",1372,1257,168,965,1461,167,1943,1726,168,1719,1548,169
"Czech Rep.",878,454,165,1183,719,166,1291,935,166,1482,944,166
"Denmark",2279,2934,145,2377,3260,142,2842,3882,145,2885,4014,142
"Estonia",814,426,179,1056,675,172,1254,862,163,1464,1107,177
"Finland",1775,2105,157,2025,2362,154,2255,2694,153,2353,2878,153
"France",1871,1877,137,2009,2226,148,2029,2281,148,2348,2529,149
"Germany",2076,2148,140,2187,2249,135,2210,2308,134,2468,2505,138
"Greece",1310,1094,167,1518,1303,167,1563,1439,159,1438,1228,157
"Hungary",947,507,180,1146,684,177,1418,847,163,1777,1023,167
"Iceland",1503,1968,148,2127,3189,158,2117,2262,155,2466,2910,153
"Ireland",2197,2590,144,2486,3005,154,2610,2886,153,2469,3019,138
"Italy",1688,1586,162,1703,1743,153,1801,1842,153,1835,1889,162
"Latvia",578,292,172,827,475,168,765,695,152,1253,879,164
"Lithuania",655,323,171,861,465,167,945,559,160,1197,751,174
"Luxembourg",2631,2693,159,2627,2949,154,2783,3366,152,2971,3578,166
"Macedonia",NA,NA,NA,NA,NA,NA,1453,563,167,1194,555,180
"Malta",1592,1149,157,774,1244,156,1949,1425,153,1944,1572,156
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1366,758,178
"Netherlands",1802,1838,122,1795,1913,121,1952,2175,124,2213,2430,132
"Norway",2142,3129,142,2526,3349,142,2768,4088,144,3076,4505,145
"Poland",1068,631,183,1192,693,170,1450,867,163,1757,981,178
"Portugal",1441,1103,168,1443,1173,166,1438,1192,165,1473,1199,165
"Romania",523,215,184,801,400,175,1177,583,166,1255,667,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,600,183
"Slovakia",726,315,166,792,540,167,1221,817,160,1464,993,170
"Slovenia",1490,1024,162,1681,1255,175,1783,1500,162,1886,1540,171
"Spain",1655,1410,171,1607,1451,160,1731,1629,159,1779,1642,157
"Sweden",1855,2322,154,2169,2613,156,2386,2951,158,2765,3472,159
"Switzerland",NA,NA,NA,NA,NA,NA,2540,3643,140,3022,4499,139
"Turkey",NA,NA,NA,1673,962,194,1714,1059,194,1677,1003,194
"United Kingdom",2242,2574,135,2605,2940,139,2369,2503,139,2384,2897,142
