"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1067,1065,126,1120,1178,129,1203,1327,126,1274,1348,121
"Belgium",1425,1427,141,1389,1505,133,1556,1727,134,1726,1876,139
"Bulgaria",198,80,179,304,116,169,465,206,160,570,273,179
"Croatia",NA,NA,NA,NA,NA,NA,993,700,170,NA,NA,NA
"Cyprus",1102,1010,172,674,1021,169,1232,1094,171,1176,1059,172
"Czech Rep.",529,274,162,672,408,165,781,565,165,915,583,165
"Denmark",1454,1873,120,1565,2147,121,1918,2620,126,1757,2445,113
"Estonia",450,236,180,613,392,174,722,496,165,905,684,175
"Finland",1256,1489,143,1330,1551,139,1564,1868,141,1684,2060,142
"France",1284,1289,127,1400,1552,135,1500,1685,141,1643,1769,139
"Germany",1305,1350,124,1242,1277,113,1363,1424,116,1413,1434,117
"Greece",968,808,161,1247,1071,167,1151,1059,147,1056,902,144
"Hungary",510,273,176,562,335,174,720,430,158,1046,602,168
"Iceland",1193,1562,144,1603,2404,151,1273,1359,139,1387,1637,133
"Ireland",1295,1526,132,1406,1699,133,1583,1751,139,1543,1887,124
"Italy",1310,1230,147,1235,1264,132,1352,1383,144,1393,1434,147
"Latvia",297,150,169,462,265,171,395,359,147,695,487,162
"Lithuania",377,185,174,495,268,171,565,334,162,696,437,178
"Luxembourg",1573,1610,162,1430,1606,148,1582,1913,146,1831,2205,161
"Macedonia",NA,NA,NA,NA,NA,NA,772,299,165,630,293,179
"Malta",NA,NA,NA,604,971,NA,1383,1011,133,1202,972,135
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,774,429,179
"Netherlands",1316,1342,113,1051,1120,101,1207,1345,106,1350,1483,114
"Norway",1382,2018,117,1618,2145,118,1723,2544,119,1785,2614,114
"Poland",542,320,187,584,339,168,782,467,165,974,544,176
"Portugal",837,641,171,926,753,162,932,773,161,1037,845,161
"Romania",240,99,184,358,179,176,490,243,166,538,286,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,705,356,183
"Slovakia",622,270,172,470,320,167,722,483,160,887,602,168
"Slovenia",946,650,163,1029,768,176,1119,941,160,1133,926,165
"Spain",1206,1028,162,1154,1042,152,1189,1119,149,1205,1112,144
"Sweden",1238,1549,129,1480,1784,136,1637,2024,134,1908,2395,135
"Switzerland",NA,NA,NA,NA,NA,NA,1592,2283,121,1885,2806,118
"Turkey",NA,NA,NA,847,487,198,886,547,198,876,524,195
"United Kingdom",986,1133,108,1057,1193,110,1126,1190,113,1085,1318,117
