"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",254,103,184,326,124,171,416,184,154,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",557,288,164,706,429,NA,725,525,179,870,555,174
"Denmark",1947,2508,147,1915,2626,136,2115,2888,133,2077,2890,128
"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",NA,NA,NA,NA,NA,164,1591,1900,165,1819,2224,165
"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",1299,1344,140,1162,1194,128,1232,1287,115,1866,1894,137
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",598,320,188,477,285,NA,613,366,158,801,461,169
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",1273,1195,164,NA,NA,NA,1261,1291,152,NA,NA,NA
"Latvia",NA,NA,170,462,265,166,496,451,151,421,296,115
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",956,975,102,1018,1085,108,1158,1290,113,984,1081,103
"Norway",1464,2139,115,1555,2062,121,2046,3021,145,2303,3373,145
"Poland",520,307,187,NA,NA,NA,648,388,170,1080,603,183
"Portugal",NA,NA,NA,705,573,158,958,794,174,833,679,173
"Romania",291,120,199,380,190,176,448,222,169,525,279,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",NA,NA,NA,NA,NA,NA,652,436,161,796,540,167
"Slovenia",NA,NA,NA,1123,839,188,NA,NA,NA,1257,1026,169
"Spain",NA,NA,NA,1053,951,168,1440,1355,153,NA,NA,NA
"Sweden",1424,1782,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1772,2638,121
"Turkey",NA,NA,NA,678,390,207,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
