"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1161,1221,121,1522,1679,155,1466,1551,134
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1301,1410,142,1529,1697,135,NA,NA,NA
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",525,272,167,705,429,167,693,502,162,955,608,176
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,2075,2847,143,2123,2899,132,2195,3054,131
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1482,1728,159,1668,1993,160,1616,1976,147
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1286,1426,147,1367,1536,138,1435,1546,139
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1655,1701,130,1599,1670,132,2210,2243,149
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",457,245,181,549,328,169,668,399,163,816,469,164
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1357,1388,162,1072,1097,132,909,936,118
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,578,332,164,356,324,151,520,365,165
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",347,171,169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,1111,1184,105,NA,NA,NA,NA,NA,NA
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,2126,2818,140,2092,3090,136,2425,3551,140
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",610,361,182,600,349,173,733,438,142,899,502,178
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,801,651,162,860,713,167,NA,NA,NA
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",306,126,190,388,194,178,448,222,169,478,254,183
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",500,217,174,406,277,155,756,506,152,823,558,170
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Craft and related trades workers","From 30 to 39 years","Females",NA,NA,NA,955,713,181,1205,1013,157,1094,893,156
