"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,1027,1133,139,1081,1144,140
"Belgium",NA,NA,NA,1327,1438,153,1629,1808,143,NA,NA,NA
"Bulgaria",216,88,183,283,108,170,NA,NA,NA,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",499,258,169,585,356,163,761,551,181,746,475,174
"Denmark",NA,NA,NA,1852,2540,133,1924,2627,125,1580,2198,103
"Estonia",NA,NA,NA,581,371,164,NA,NA,NA,807,610,174
"Finland",NA,NA,NA,1323,1543,160,1510,1804,165,1564,1913,162
"France",NA,NA,NA,1299,1440,133,NA,NA,NA,1131,1218,128
"Germany",NA,NA,NA,1098,1129,115,1117,1166,130,1127,1143,120
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",492,264,181,581,347,160,602,359,158,715,411,169
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,1084,1109,135,1385,1417,163,1315,1353,158
"Latvia",NA,NA,NA,409,235,169,304,277,145,NA,NA,NA
"Lithuania",333,164,172,369,200,165,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1298,1324,118,1334,1421,132,NA,NA,NA,NA,NA,NA
"Norway",NA,NA,NA,1885,2499,152,1867,2757,137,1993,2919,137
"Poland",630,372,181,578,336,172,661,395,160,803,448,179
"Portugal",NA,NA,NA,812,660,169,830,688,172,NA,NA,NA
"Romania",301,124,192,494,247,176,547,271,169,631,335,185
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",358,156,162,370,252,168,677,453,164,789,535,165
"Slovenia",NA,NA,NA,998,745,174,1397,1175,159,997,814,165
"Spain",929,792,176,977,883,157,1069,1005,151,1225,1130,164
"Sweden",NA,NA,NA,1519,1830,164,NA,NA,NA,NA,NA,NA
"Switzerland",NA,NA,NA,NA,NA,NA,2108,3024,131,1872,2787,145
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",1353,1553,129,NA,NA,NA,NA,NA,NA,NA,NA,NA
