"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1114,1172,120,1161,1282,118,1298,1374,117
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1530,1658,130,1723,1913,128,1781,1936,121
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",191,78,178,276,105,169,397,176,163,459,220,175
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1141,803,164,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,737,1115,170,1414,1256,168,1269,1143,153
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",581,301,165,649,395,161,813,588,168,826,526,166
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1594,2186,133,1909,2607,134,1861,2589,127
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,456,291,168,598,411,163,679,513,172
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1479,1725,158,1690,2019,159,1809,2212,158
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1347,1493,136,1444,1622,138,1540,1659,137
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1307,1344,115,1722,1799,128,1303,1322,114
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1520,1304,180,1395,1284,174,1275,1089,176
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",478,256,183,642,383,174,705,421,164,750,431,167
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1066,1598,137,1025,1094,130,1201,1417,130
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",1410,1662,121,1680,2031,129,1986,2196,138,1867,2283,122
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1197,1225,136,1291,1321,145,1335,1374,147
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,373,215,161,317,288,143,527,369,161
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",316,155,175,403,218,163,NA,NA,NA,524,329,159
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,1996,2240,139,1881,2276,NA,2173,2618,153
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,857,332,168,757,352,178
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,160,1404,1026,134,1451,1174,149
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Service and sales workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,620,344,170
