"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1685,1772,129,1650,1821,124,1786,1890,126
"Belgium",NA,NA,NA,2009,2178,136,2242,2489,136,2244,2439,130
"Bulgaria",293,119,181,493,188,173,722,320,154,833,399,167
"Croatia",NA,NA,NA,NA,NA,NA,1519,1070,166,NA,NA,NA
"Cyprus",NA,NA,NA,927,1403,166,1916,1702,170,2045,1842,168
"Czech Rep.",865,447,165,1038,631,164,1203,871,164,1277,813,163
"Denmark",NA,NA,NA,2062,2828,142,2513,3432,149,2515,3499,148
"Estonia",NA,NA,NA,740,472,155,1016,698,154,1064,804,162
"Finland",NA,NA,NA,1805,2105,157,2076,2480,156,2202,2693,156
"France",NA,NA,NA,1768,1960,136,1771,1990,137,1884,2029,138
"Germany",NA,NA,NA,1844,1896,126,1824,1905,125,2060,2091,131
"Greece",NA,NA,NA,1708,1466,173,1728,1591,181,1600,1367,182
"Hungary",600,322,187,839,501,176,903,539,166,973,560,170
"Iceland",NA,NA,NA,1439,2158,134,1267,1353,126,1659,1957,137
"Ireland",1868,2203,122,2627,3175,142,2950,3262,147,2384,2915,117
"Italy",NA,NA,NA,1716,1756,143,1911,1955,148,1804,1857,151
"Latvia",NA,NA,NA,663,381,157,542,492,148,761,534,156
"Lithuania",464,228,163,689,373,162,NA,NA,NA,769,482,167
"Luxembourg",NA,NA,NA,2973,3338,133,3133,3790,133,3201,3854,144
"Macedonia",NA,NA,NA,NA,NA,NA,1235,479,168,945,440,181
"Malta",NA,NA,NA,621,998,128,1663,1216,157,2082,1684,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,605,179
"Netherlands",1459,1488,97,1316,1402,100,1678,1869,106,1760,1932,107
"Norway",NA,NA,NA,2138,2835,128,2282,3371,131,2490,3647,130
"Poland",669,395,178,857,498,160,965,577,155,1211,676,174
"Portugal",NA,NA,NA,1413,1148,156,1296,1074,161,1364,1111,167
"Romania",463,190,187,707,353,177,768,381,166,768,408,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,991,500,184
"Slovakia",650,283,174,613,418,164,1064,712,158,1124,762,170
"Slovenia",1609,1105,160,1602,1196,178,1652,1389,165,1612,1316,171
"Spain",1454,1239,161,1548,1398,148,1632,1535,148,1551,1432,144
"Sweden",NA,NA,NA,1669,2011,143,1806,2234,146,2164,2718,154
"Switzerland",NA,NA,NA,NA,NA,NA,2396,3437,125,2671,3976,123
"Turkey",NA,NA,NA,1213,698,194,1250,773,196,1474,882,202
"United Kingdom",2145,2463,129,2412,2722,135,1851,1956,128,1831,2225,135
