"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1408,1405,153,1449,1523,147,1471,1624,145,1893,2003,152
"Belgium",NA,NA,NA,1756,1903,157,1903,2112,151,2089,2271,153
"Bulgaria",228,93,NA,341,130,176,NA,NA,165,546,261,182
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",572,296,166,747,454,168,804,582,169,947,603,170
"Denmark",1993,2566,140,1928,2644,127,2274,3105,125,2340,3256,130
"Estonia",557,292,185,705,450,175,791,544,169,996,753,183
"Finland",1542,1829,168,1798,2097,167,1989,2376,164,2209,2701,165
"France",1455,1460,143,1703,1887,151,1487,1671,147,1733,1866,149
"Germany",1750,1811,152,1782,1832,141,1602,1674,131,2089,2120,148
"Greece",983,820,166,NA,NA,173,1291,1189,168,1151,983,166
"Hungary",527,282,183,612,365,182,718,429,165,820,472,167
"Iceland",NA,NA,NA,1479,2218,163,1495,1597,172,1716,2026,168
"Ireland",1294,1525,161,NA,NA,NA,2055,2272,177,2205,2696,160
"Italy",1239,1164,162,1305,1335,159,1435,1469,159,1539,1584,175
"Latvia",379,191,171,515,296,169,396,360,147,686,481,158
"Lithuania",446,220,171,573,310,171,NA,NA,NA,780,489,180
"Luxembourg",1792,1834,160,1637,1837,165,NA,NA,NA,2165,2607,170
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,165,582,271,182
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1529,1559,NA,1232,1313,115,1623,1808,132,1329,1460,124
"Norway",1970,2877,149,2369,3142,153,2471,3650,152,2749,4026,156
"Poland",555,328,187,603,350,175,789,472,169,1032,576,184
"Portugal",594,455,168,600,487,173,757,628,174,808,658,174
"Romania",307,126,189,420,210,180,559,277,172,718,382,188
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,671,339,182
"Slovakia",501,218,172,488,333,171,744,498,163,892,605,174
"Slovenia",886,608,163,908,678,178,1046,880,163,1213,991,176
"Spain",1151,981,176,1284,1160,165,1428,1343,164,1506,1390,164
"Sweden",1579,1976,165,1795,2163,162,2036,2518,168,2381,2990,168
"Switzerland",NA,NA,NA,NA,NA,NA,2053,2944,142,2506,3730,157
"Turkey",NA,NA,NA,677,389,202,NA,NA,NA,791,473,201
"United Kingdom",1772,2035,151,NA,NA,NA,1834,1938,155,1722,2092,159
