"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3357,3350,169,3890,4091,162,3398,3750,155,3569,3777,147
"Belgium",3483,3487,174,4655,5046,167,4060,4507,162,4542,4937,169
"Bulgaria",577,234,184,878,335,175,1309,581,166,1967,941,178
"Croatia",NA,NA,NA,NA,NA,NA,1858,1309,167,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",1489,770,166,2202,1339,169,2374,1718,168,2694,1716,167
"Denmark",3286,4231,158,3487,4782,158,4106,5608,159,4056,5643,159
"Estonia",1412,740,181,1635,1044,174,2282,1568,164,2267,1714,184
"Finland",3324,3942,165,3738,4360,161,4132,4937,162,4256,5205,162
"France",3146,3157,146,3332,3692,166,3268,3672,160,3775,4065,176
"Germany",3559,3682,160,3751,3856,158,4462,4660,155,5160,5237,161
"Greece",2280,1903,171,3267,2804,176,NA,NA,NA,NA,NA,NA
"Hungary",1972,1057,184,2074,1238,179,2549,1522,164,3313,1906,169
"Iceland",2107,2758,141,3349,5022,147,3898,4163,162,4677,5520,165
"Ireland",4233,4990,156,3716,4492,156,4172,4613,160,3331,4073,164
"Italy",3359,3155,172,3060,3131,173,3163,3237,164,5876,6048,182
"Latvia",875,441,179,1263,726,169,915,832,149,1688,1183,151
"Lithuania",1055,519,180,1278,691,170,1546,914,165,1904,1194,174
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,1777,688,153,1846,859,184
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",2959,3018,150,2711,2889,141,3111,3466,149,4205,4618,160
"Norway",3659,5345,161,4150,5502,158,4603,6798,159,5016,7347,160
"Poland",2234,1321,186,2374,1379,173,2605,1557,165,3035,1695,181
"Portugal",2740,2098,170,2907,2362,169,2305,1910,172,2131,1736,173
"Romania",874,360,185,1563,780,175,2360,1170,167,2169,1153,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,713,184
"Slovakia",1521,661,173,1433,977,169,2240,1499,163,2606,1767,168
"Slovenia",2722,1870,162,3103,2316,175,2929,2464,164,3353,2738,178
"Spain",3206,2733,178,2998,2708,170,3541,3332,169,3440,3176,169
"Sweden",2877,3601,168,3369,4060,168,3548,4389,172,4174,5241,172
"Switzerland",NA,NA,NA,NA,NA,NA,5204,7464,167,4723,7031,162
"Turkey",NA,NA,NA,2199,1264,195,2529,1563,193,2995,1791,195
"United Kingdom",3809,4373,157,3803,4292,154,3660,3867,157,3413,4147,160
