"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1790,1786,143,1938,2038,140,2002,2209,134,2244,2375,137
"Belgium",2290,2293,164,2493,2703,159,2665,2959,155,3090,3359,163
"Bulgaria",370,150,182,570,217,175,796,353,164,959,459,181
"Croatia",NA,NA,NA,NA,NA,NA,1451,1022,166,NA,NA,NA
"Cyprus",1058,970,163,792,1199,167,1536,1364,167,1418,1277,170
"Czech Rep.",854,441,166,1228,747,166,1293,936,167,1522,969,167
"Denmark",2469,3180,157,2713,3721,155,3210,4383,155,3395,4724,156
"Estonia",919,482,180,1128,721,171,1297,891,164,1569,1187,180
"Finland",1954,2318,163,2407,2807,161,2657,3174,160,2804,3429,161
"France",2012,2019,139,2235,2477,148,2215,2489,150,2555,2752,155
"Germany",2197,2273,141,2352,2418,137,2454,2563,136,2905,2948,143
"Greece",1372,1145,171,1595,1369,175,1748,1609,166,1440,1230,163
"Hungary",1060,568,182,1265,755,180,1366,816,166,1806,1039,169
"Iceland",1612,2111,152,2212,3316,155,2241,2394,157,2719,3209,160
"Ireland",2348,2768,150,2754,3329,163,2981,3296,159,3003,3672,166
"Italy",1707,1603,165,1786,1827,163,1979,2025,159,2043,2103,174
"Latvia",605,305,172,879,505,167,721,656,151,1174,823,162
"Lithuania",728,358,175,911,492,170,961,568,163,1276,801,174
"Luxembourg",2298,2352,161,2469,2772,155,2762,3341,152,2654,3197,159
"Macedonia",NA,NA,NA,NA,NA,NA,1286,498,166,1276,593,182
"Malta",1608,1161,185,720,1157,162,1951,1427,164,1783,1442,168
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1549,859,179
"Netherlands",2182,2225,132,1924,2050,124,2070,2306,129,2442,2682,137
"Norway",2400,3506,149,2944,3903,151,3367,4972,155,3821,5596,157
"Poland",1069,632,186,1272,739,172,1504,899,165,1845,1030,181
"Portugal",1188,910,168,1331,1081,169,1433,1188,169,1426,1162,171
"Romania",507,208,186,745,372,176,1169,579,167,1215,646,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1155,583,183
"Slovakia",798,347,172,843,575,169,1282,858,161,1579,1070,172
"Slovenia",1576,1082,162,1751,1307,175,1944,1635,163,2187,1786,174
"Spain",1742,1485,176,1762,1591,164,1997,1879,166,2115,1952,165
"Sweden",1978,2475,161,2393,2883,163,2620,3241,166,3144,3948,170
"Switzerland",NA,NA,NA,NA,NA,NA,2906,4168,149,3314,4934,148
"Turkey",NA,NA,NA,1303,749,196,NA,NA,NA,1563,935,196
"United Kingdom",2609,2996,148,2858,3225,148,2498,2640,147,2620,3183,154
