"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",3083,3076,167,3057,3214,164,2985,3294,148,3130,3312,153
"Belgium",3101,3105,170,3105,3366,165,3266,3625,158,3735,4059,164
"Bulgaria",454,184,181,809,308,175,1055,468,164,1213,581,179
"Croatia",NA,NA,NA,NA,NA,NA,2284,1609,168,NA,NA,NA
"Cyprus",1848,1693,166,NA,NA,NA,2259,2007,168,1931,1739,168
"Czech Rep.",1134,586,167,1694,1030,166,1716,1242,165,2093,1333,166
"Denmark",3301,4251,159,3562,4885,158,4073,5562,159,4218,5869,159
"Estonia",1139,597,182,1337,854,166,1660,1140,162,1994,1508,176
"Finland",2692,3192,164,2894,3375,162,3172,3789,160,3331,4074,161
"France",3018,3028,139,3323,3683,168,3290,3697,165,3493,3762,177
"Germany",3546,3670,156,3631,3733,151,3671,3835,153,4279,4343,155
"Greece",1745,1456,172,2234,1918,174,2277,2096,165,1718,1468,164
"Hungary",1787,958,182,2020,1206,179,2343,1400,166,2436,1401,169
"Iceland",NA,NA,NA,3054,4579,166,2703,2887,158,3368,3975,164
"Ireland",3179,3748,157,3289,3975,168,3661,4048,164,3680,4499,168
"Italy",NA,NA,NA,2511,2569,168,2638,2699,164,2555,2630,180
"Latvia",868,438,172,1043,600,165,823,748,150,1397,980,169
"Lithuania",815,401,173,944,510,166,1066,630,162,1365,856,176
"Luxembourg",3524,3607,156,2977,3342,158,3272,3958,139,3654,4401,161
"Macedonia",NA,NA,NA,NA,NA,NA,1711,663,168,1447,673,182
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,2436,1970,162
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,2215,1229,179
"Netherlands",2675,2729,137,2678,2854,138,2756,3071,138,3041,3339,148
"Norway",3116,4551,157,3734,4951,159,3912,5778,160,4305,6305,161
"Poland",1547,915,186,1541,896,172,1636,978,165,2034,1136,181
"Portugal",2238,1714,164,1990,1617,166,2025,1679,162,1868,1522,168
"Romania",648,266,185,969,484,174,1385,686,166,1459,775,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1727,871,184
"Slovakia",975,424,171,1103,752,164,1766,1182,158,1909,1295,173
"Slovenia",2581,1773,145,2565,1914,176,2515,2115,163,2760,2254,174
"Spain",2553,2176,179,2353,2125,168,2591,2437,168,2682,2476,165
"Sweden",2446,3061,162,2838,3419,166,3021,3737,169,3447,4328,170
"Switzerland",NA,NA,NA,NA,NA,NA,4214,6043,163,4196,6247,155
"Turkey",NA,NA,NA,1850,1064,194,NA,NA,NA,2393,1431,193
"United Kingdom",3545,4071,155,3305,3730,149,3204,3385,153,3233,3928,157
