"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1614,1697,134,1701,1877,131,1894,2004,131
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,2078,2253,137,2304,2557,138,2578,2802,142
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",346,140,181,550,210,173,849,377,163,1004,481,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1471,1036,165,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1060,1605,162,2181,1937,161,1903,1714,161
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",869,449,166,1127,685,165,1254,907,166,1401,892,165
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,2160,2962,141,2625,3585,144,2649,3686,141
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,944,603,164,1148,789,156,1333,1008,169
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1929,2250,156,2168,2590,155,2286,2796,155
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1879,2083,143,1908,2144,143,2162,2329,144
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,2135,2195,133,2189,2287,133,2398,2434,135
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1561,1340,163,1605,1478,157,1482,1266,158
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",813,436,183,1035,618,176,1263,755,163,1494,859,168
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1834,2750,151,1710,1826,148,1980,2337,147
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",2173,2561,131,2568,3104,148,2717,3004,147,2533,3097,132
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1673,1712,143,1826,1869,147,1850,1905,153
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,800,460,163,690,627,148,1112,780,161
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",594,292,160,805,435,157,917,542,151,1100,690,163
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,2679,3007,151,2784,3368,148,3208,3863,160
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1389,538,166,1163,541,180
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,746,1199,147,1857,1358,145,1968,1592,153
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1303,723,176
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",1671,1704,112,1652,1761,114,1868,2081,116,2080,2284,120
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,2411,3197,138,2470,3648,134,2761,4043,135
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",956,565,160,1113,647,150,1361,813,146,1659,926,163
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,1535,1247,162,1486,1232,160,1477,1203,162
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",495,204,185,765,382,176,1009,500,167,1132,602,180
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1141,576,180
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",704,306,168,721,491,165,1149,769,158,1370,929,168
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",1619,1112,161,1758,1312,175,1834,1543,161,1849,1510,171
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",1646,1403,165,1661,1500,155,1755,1651,154,1796,1658,151
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Non manual workers","From 30 to 39 years","Females",1855,2322,154,1844,2222,145,2045,2530,149,2386,2996,152
