"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1460,1535,153,1478,1631,150,1753,1855,153
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1696,1839,153,1901,2111,150,2198,2389,158
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",260,105,184,361,138,176,494,219,167,576,276,183
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,780,550,170,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,645,977,167,1382,1228,168,1158,1043,159
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",609,315,166,786,478,168,834,603,169,972,619,170
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1938,2658,131,2243,3064,130,2301,3201,134
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,711,454,175,786,540,169,985,745,183
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1805,2105,166,2000,2389,164,2156,2636,164
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1460,1618,147,1464,1645,145,1600,1723,140
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1659,1706,134,1588,1659,134,1857,1885,142
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1425,1223,168,1358,1250,167,1188,1015,164
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",574,308,184,659,394,183,748,447,166,870,501,167
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1501,2250,171,1541,1646,170,1724,2035,168
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",1357,1600,152,1827,2208,160,2019,2232,158,2198,2687,155
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1331,1362,159,1318,1349,148,1374,1414,154
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,541,311,171,441,401,153,706,495,158
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",481,237,175,590,319,172,617,365,163,811,509,180
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,1610,1808,159,1842,2229,159,2082,2508,170
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,622,241,167,623,290,181
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Skilled manual workers","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1988,1454,197,1647,1332,175
