"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1580,1576,172,NA,NA,NA,1399,1544,149,1634,1729,156
"Belgium",NA,NA,NA,1569,1701,150,1954,2169,153,2107,2290,154
"Bulgaria",289,117,186,442,169,177,617,274,NA,662,317,185
"Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",762,394,174,854,519,169,835,605,170,904,576,169
"Denmark",1702,2191,130,1578,2165,112,2136,2917,130,2122,2952,126
"Estonia",650,341,185,847,541,184,821,564,NA,974,736,175
"Finland",1471,1745,165,1661,1938,168,2132,2547,166,2082,2547,163
"France",1558,1564,134,1560,1729,148,1513,1700,NA,1654,1781,136
"Germany",1584,1639,142,1556,1600,134,1362,1422,129,1450,1471,127
"Greece",842,703,163,NA,NA,NA,1597,1470,NA,NA,NA,NA
"Hungary",612,328,183,694,414,184,876,523,167,970,558,178
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",1484,1750,NA,2366,2860,NA,NA,NA,NA,2066,2527,137
"Italy",1397,1312,173,1349,1380,149,1534,1569,155,1420,1461,170
"Latvia",457,231,169,680,391,175,687,624,163,969,680,161
"Lithuania",605,298,177,725,392,171,NA,NA,NA,1342,841,184
"Luxembourg",1558,1595,162,NA,NA,NA,2035,2462,150,2214,2666,158
"Macedonia",NA,NA,NA,NA,NA,NA,842,326,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1120,1142,107,1129,1203,117,1390,1548,122,1573,1727,133
"Norway",1692,2471,143,2030,2691,145,2181,3221,142,2319,3396,145
"Poland",806,477,184,799,465,177,1003,599,173,1224,684,186
"Portugal",779,597,171,865,703,175,863,716,172,1078,878,175
"Romania",418,172,187,500,250,182,661,328,170,564,299,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",636,276,173,607,414,165,727,486,164,801,543,167
"Slovenia",NA,NA,NA,1030,769,182,1066,897,160,1257,1027,173
"Spain",1322,1126,181,1315,1188,162,1538,1447,168,1433,1323,157
"Sweden",1411,1766,157,1753,2113,161,NA,NA,NA,2217,2783,164
"Switzerland",NA,NA,NA,NA,NA,NA,2020,2897,138,2108,3138,145
"Turkey",NA,NA,NA,778,448,NA,NA,NA,NA,779,466,200
"United Kingdom",1604,1842,159,1809,2041,165,1656,1749,NA,1580,1920,160
