"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Professionals","From 30 to 39 years","Females",2767,2761,154,2547,2678,142,2680,2958,145,2871,3038,149
"Belgium","Services of the business economy","Professionals","From 30 to 39 years","Females",3105,3109,173,3156,3421,159,3249,3606,153,3582,3894,162
"Bulgaria","Services of the business economy","Professionals","From 30 to 39 years","Females",618,251,183,1041,397,173,1575,699,165,1862,891,181
"Croatia","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,2565,1806,168,NA,NA,NA
"Cyprus","Services of the business economy","Professionals","From 30 to 39 years","Females",2241,2054,170,1789,2708,166,3157,2804,169,2806,2527,168
"Czech Rep.","Services of the business economy","Professionals","From 30 to 39 years","Females",1268,655,165,1871,1138,166,1988,1439,166,2261,1440,164
"Denmark","Services of the business economy","Professionals","From 30 to 39 years","Females",3270,4211,157,3153,4324,149,3316,4529,145,3346,4656,142
"Estonia","Services of the business economy","Professionals","From 30 to 39 years","Females",1346,705,178,1844,1178,168,1966,1351,162,2085,1576,175
"Finland","Services of the business economy","Professionals","From 30 to 39 years","Females",2547,3020,162,2783,3245,159,3017,3605,157,3195,3908,158
"France","Services of the business economy","Professionals","From 30 to 39 years","Females",3027,3038,143,3116,3454,161,3014,3387,158,3286,3539,158
"Germany","Services of the business economy","Professionals","From 30 to 39 years","Females",3224,3336,156,3422,3518,149,3212,3355,151,3612,3666,154
"Greece","Services of the business economy","Professionals","From 30 to 39 years","Females",1876,1566,168,2048,1758,175,2154,1982,165,2054,1754,167
"Hungary","Services of the business economy","Professionals","From 30 to 39 years","Females",1872,1003,183,2295,1370,180,2730,1631,164,2484,1429,166
"Iceland","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,3332,4996,170,3017,3222,160,3648,4305,166
"Ireland","Services of the business economy","Professionals","From 30 to 39 years","Females",3449,4066,149,3513,4247,163,3625,4008,160,3632,4441,144
"Italy","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,2070,2118,161,2511,2570,164,2438,2509,175
"Latvia","Services of the business economy","Professionals","From 30 to 39 years","Females",853,430,166,1261,724,162,1121,1019,153,1892,1327,164
"Lithuania","Services of the business economy","Professionals","From 30 to 39 years","Females",868,427,171,1056,571,163,1224,724,154,1430,897,171
"Luxembourg","Services of the business economy","Professionals","From 30 to 39 years","Females",3795,3884,158,3673,4124,158,3662,4430,158,3698,4453,170
"Macedonia","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,2055,796,167,1556,724,178
"Malta","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,1036,1665,153,2434,1780,153,2464,1993,155
"Montenegro","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,2697,1496,179
"Netherlands","Services of the business economy","Professionals","From 30 to 39 years","Females",2600,2652,143,2728,2908,138,2830,3153,138,2926,3213,144
"Norway","Services of the business economy","Professionals","From 30 to 39 years","Females",3149,4600,157,3531,4682,158,3510,5184,157,3894,5702,157
"Poland","Services of the business economy","Professionals","From 30 to 39 years","Females",1578,933,165,1709,993,170,1936,1157,160,2258,1261,177
"Portugal","Services of the business economy","Professionals","From 30 to 39 years","Females",2701,2068,167,2212,1797,169,2299,1905,164,2217,1806,168
"Romania","Services of the business economy","Professionals","From 30 to 39 years","Females",997,410,183,1435,717,174,1741,863,165,1829,972,181
"Serbia","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,2075,1047,184
"Slovakia","Services of the business economy","Professionals","From 30 to 39 years","Females",1363,592,170,1211,825,167,1851,1239,160,2060,1397,172
"Slovenia","Services of the business economy","Professionals","From 30 to 39 years","Females",3023,2077,157,2657,1983,174,2570,2162,161,2610,2131,173
"Spain","Services of the business economy","Professionals","From 30 to 39 years","Females",2646,2255,176,2362,2133,166,2484,2337,167,2598,2398,166
"Sweden","Services of the business economy","Professionals","From 30 to 39 years","Females",2576,3224,162,2821,3399,162,2921,3613,165,3393,4260,166
"Switzerland","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,4270,6123,160,3813,5676,148
"Turkey","Services of the business economy","Professionals","From 30 to 39 years","Females",NA,NA,NA,2410,1386,194,2703,1670,192,2915,1743,190
"United Kingdom","Services of the business economy","Professionals","From 30 to 39 years","Females",3724,4277,146,4035,4553,146,3339,3528,149,3242,3939,149
