"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2323,2318,165,2271,2388,146,2099,2317,144,2261,2393,143
"Belgium","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2247,2250,161,2296,2489,153,2461,2732,149,2634,2863,158
"Bulgaria","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",497,201,182,808,308,174,1183,525,165,1239,593,180
"Croatia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1758,1238,166,NA,NA,NA
"Cyprus","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1607,1472,168,1113,1685,167,2583,2295,169,2100,1891,167
"Czech Rep.","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",955,494,168,1286,782,167,1507,1091,169,1644,1047,168
"Denmark","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2471,3183,145,2522,3460,143,2949,4027,152,3094,4305,152
"Estonia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",950,498,180,1165,744,171,1297,892,163,1595,1206,177
"Finland","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1896,2249,161,2101,2450,158,2362,2822,157,2528,3092,157
"France","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1837,1843,139,1917,2124,146,1984,2229,147,2175,2343,140
"Germany","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2396,2479,149,2463,2532,143,3007,3141,150,2779,2820,147
"Greece","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,1726,1482,168,1737,1599,167,1840,1572,167
"Hungary","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",968,519,182,1241,741,179,1531,915,164,1632,939,167
"Iceland","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,2415,3621,166,2303,2460,161,2508,2960,157
"Ireland","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2731,3220,148,2631,3180,151,2796,3092,155,2614,3196,140
"Italy","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2069,1944,162,2148,2198,159,2225,2276,159,2162,2226,170
"Latvia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",752,379,177,989,568,167,903,821,157,1401,982,168
"Lithuania","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",601,296,160,850,460,159,846,500,156,1080,677,174
"Luxembourg","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",3154,3228,161,3111,3492,157,3030,3665,154,3010,3625,167
"Macedonia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,1437,557,168,1110,516,179
"Malta","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,772,1241,155,1934,1414,141,1961,1586,163
"Montenegro","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1489,826,173
"Netherlands","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1929,1967,132,1963,2092,127,2072,2309,127,2234,2453,135
"Norway","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2407,3516,152,2845,3773,154,2938,4339,152,3198,4684,152
"Poland","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1118,661,185,1271,739,170,1480,884,163,1779,993,179
"Portugal","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1988,1522,166,1778,1445,169,1753,1453,165,1990,1621,168
"Romania","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",600,247,184,696,347,173,1021,506,166,1016,540,177
"Serbia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1368,690,182
"Slovakia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",949,413,169,857,584,169,1395,934,160,1637,1110,172
"Slovenia","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1529,1050,153,1743,1301,174,1892,1592,164,2101,1716,176
"Spain","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2020,1722,176,1882,1699,164,1961,1845,165,2066,1907,164
"Sweden","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",1911,2392,158,2279,2746,160,2505,3098,164,2856,3586,165
"Switzerland","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,NA,NA,NA,3054,4380,148,3232,4812,145
"Turkey","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",NA,NA,NA,1928,1109,193,2025,1251,191,1749,1046,193
"United Kingdom","Services of the business economy","Technicians and associate professionals","From 30 to 39 years","Females",2728,3133,143,2860,3228,146,2379,2514,145,2297,2791,149
