"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1393,1390,133,1448,1522,132,1543,1703,131,1745,1847,131
"Belgium",1935,1938,152,2010,2179,144,2126,2360,139,2433,2644,147
"Bulgaria",352,143,180,563,215,171,891,395,161,1062,508,179
"Croatia",NA,NA,NA,NA,NA,NA,1417,998,169,NA,NA,NA
"Cyprus",1359,1246,169,956,1447,167,1896,1684,168,1664,1499,169
"Czech Rep.",846,437,165,1104,671,166,1218,881,166,1385,882,165
"Denmark",2079,2678,135,2131,2923,132,2611,3566,138,2615,3639,133
"Estonia",743,389,177,991,633,170,1193,820,162,1376,1041,175
"Finland",1658,1967,154,1862,2172,152,2107,2518,151,2208,2700,152
"France",1713,1719,133,1876,2079,145,1910,2147,145,2223,2394,145
"Germany",1795,1857,129,1871,1924,124,1892,1976,125,2011,2041,124
"Greece",1223,1021,NA,1453,1247,163,1498,1379,157,1393,1190,155
"Hungary",858,460,178,1040,621,176,1337,799,161,1418,816,164
"Iceland",1454,1904,148,2057,3084,157,2040,2178,153,2327,2746,152
"Ireland",2039,2403,139,2330,2817,150,2484,2746,151,2308,2822,133
"Italy",1562,1467,154,1561,1597,146,1639,1677,148,1661,1710,154
"Latvia",545,275,172,779,447,168,735,668,151,1199,841,162
"Lithuania",598,295,169,795,430,166,889,525,157,1120,703,173
"Luxembourg",2263,2316,151,2397,2691,148,2540,3072,147,2743,3304,161
"Macedonia",NA,NA,NA,NA,NA,NA,1445,560,167,1099,511,179
"Malta",1509,1090,152,740,1190,151,1797,1314,151,1857,1502,150
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1326,736,177
"Netherlands",1589,1621,115,1604,1710,115,1811,2018,119,2025,2224,126
"Norway",2014,2942,137,2340,3102,138,2541,3752,139,2761,4044,139
"Poland",998,590,182,1107,644,169,1382,826,162,1682,939,177
"Portugal",1356,1038,162,1367,1111,166,1308,1084,160,1337,1089,162
"Romania",498,205,183,759,379,175,1087,539,166,1172,623,179
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1165,588,183
"Slovakia",689,299,165,737,502,166,1144,766,160,1364,925,169
"Slovenia",1358,933,162,1540,1149,175,1669,1404,162,1735,1417,170
"Spain",1429,1218,160,1446,1306,155,1576,1482,154,1633,1507,152
"Sweden",1742,2180,151,2041,2460,153,2243,2775,156,2589,3251,155
"Switzerland",NA,NA,NA,NA,NA,NA,2338,3353,135,2751,4096,131
"Turkey",NA,NA,NA,1669,960,194,1674,1035,194,1579,944,194
"United Kingdom",2059,2365,132,2465,2782,138,2212,2337,135,2195,2667,138
