"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",5953,5940,170,4165,4380,163,4379,4833,163,4624,4893,162
"Belgium",4175,4180,171,4447,4820,160,4681,5197,155,5635,6125,165
"Bulgaria",760,308,183,1299,495,175,1865,828,165,2449,1172,180
"Croatia",NA,NA,NA,NA,NA,NA,3814,2687,168,NA,NA,NA
"Cyprus",3465,3176,167,2780,4207,169,5247,4661,166,4046,3644,168
"Czech Rep.",1200,620,168,1688,1027,167,2427,1757,169,3009,1917,170
"Denmark",3644,4693,158,4074,5587,158,4721,6448,159,5145,7159,160
"Estonia",1193,625,181,1628,1040,174,2278,1566,167,2519,1905,178
"Finland",3143,3728,164,3764,4389,162,4825,5764,161,5247,6418,162
"France",3341,3353,143,3434,3805,162,3873,4352,162,4455,4797,169
"Germany",3571,3695,162,4063,4177,157,5178,5408,156,6159,6250,158
"Greece",2666,2225,170,3761,3228,170,3113,2865,169,3548,3031,168
"Hungary",1672,896,184,1835,1095,181,2375,1418,166,2587,1488,170
"Iceland",2912,3813,170,3359,5036,165,3529,3769,164,4602,5432,168
"Ireland",3615,4262,148,3264,3945,163,4210,4655,157,3583,4381,137
"Italy",4692,4407,166,5185,5305,168,4312,4413,149,4431,4561,162
"Latvia",891,450,178,1208,694,171,958,870,152,1790,1255,164
"Lithuania",1130,556,177,1337,723,170,1221,722,153,1531,961,165
"Luxembourg",4925,5040,165,5493,6166,166,5549,6713,163,5986,7209,170
"Macedonia",NA,NA,NA,NA,NA,NA,2530,980,168,2036,947,183
"Malta",NA,NA,171,1333,2142,168,2959,2164,171,3211,2597,168
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3157,1751,178
"Netherlands",2111,2153,135,2675,2851,137,3711,4135,146,4273,4693,152
"Norway",3554,5192,159,4202,5571,158,4512,6663,158,5026,7361,159
"Poland",1924,1138,185,2242,1303,173,2720,1626,164,3691,2061,179
"Portugal",4479,3430,166,3228,2623,162,4234,3510,165,3716,3027,165
"Romania",1196,492,185,1882,940,175,2543,1260,167,2395,1273,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1019,184
"Slovakia",1307,568,170,1550,1057,168,2146,1436,161,2583,1752,171
"Slovenia",2838,1949,176,4060,3030,176,3931,3307,167,4169,3404,176
"Spain",4523,3855,179,3580,3234,169,4124,3880,168,4219,3894,169
"Sweden",3278,4103,169,3972,4787,169,4143,5125,169,4876,6123,171
"Switzerland",NA,NA,NA,NA,NA,NA,5403,7748,160,5445,8106,160
"Turkey",NA,NA,NA,3499,2012,192,4396,2717,189,5354,3202,194
"United Kingdom",3601,4135,156,4084,4609,157,3861,4080,156,4007,4868,157
