"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",236,96,183,355,135,174,347,154,150,NA,NA,NA
"Croatia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,892,628,169,NA,NA,NA
"Cyprus","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",468,242,161,758,461,174,NA,NA,180,989,630,174
"Denmark","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,1947,2670,137,2203,3009,133,2276,3166,128
"Estonia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,1491,1739,164,1741,2080,164,1846,2258,165
"France","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",1395,1444,155,1323,1360,138,1453,1518,135,1403,1424,123
"Greece","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",566,303,192,NA,NA,179,680,406,166,877,504,173
"Iceland","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1359,1390,159,NA,NA,NA
"Latvia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",316,160,NA,567,326,168,476,433,150,849,595,175
"Lithuania","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",747,762,90,NA,NA,133,952,1060,87,1068,1173,107
"Norway","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",1488,2174,114,1785,2367,122,2238,3305,162,2275,3332,133
"Poland","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",607,359,188,NA,NA,NA,641,383,167,915,511,179
"Portugal","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,601,489,172,802,665,167,844,687,173
"Romania","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",309,127,197,363,181,177,476,236,169,571,303,186
"Serbia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,441,300,174,623,417,161,714,484,173
"Slovenia","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,967,722,182,1079,907,152,1327,1083,170
"Spain","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1214,1142,155,1527,1410,166
"Sweden","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,1744,2102,164,NA,NA,NA,NA,NA,NA
"Switzerland","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1521,2264,98
"Turkey","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Business economy","Skilled agricultural, forestry and fishery workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
