"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2441,2567,124,2072,2287,116,2334,2470,116
"Belgium",NA,NA,NA,2498,2708,95,2939,3263,119,3278,3563,118
"Bulgaria",420,170,181,641,244,173,838,372,163,910,436,178
"Croatia",NA,NA,NA,NA,NA,NA,1752,1234,161,NA,NA,NA
"Cyprus",NA,NA,NA,1877,2841,151,3602,3200,142,3107,2799,140
"Czech Rep.",1058,547,168,1263,768,167,1428,1033,171,1502,957,167
"Denmark",NA,NA,NA,2878,3947,145,2997,4092,147,3023,4206,145
"Estonia",NA,NA,NA,925,591,148,1112,764,137,1198,906,148
"Finland",NA,NA,NA,2552,2976,159,2805,3351,158,2948,3606,159
"France",NA,NA,NA,2429,2692,140,2457,2761,140,2547,2743,139
"Germany",NA,NA,NA,3012,3096,140,2785,2909,137,3095,3141,131
"Greece",NA,NA,NA,2165,1858,138,2050,1887,139,1968,1681,144
"Hungary",891,478,188,1187,709,176,1207,721,166,1487,855,170
"Iceland",NA,NA,NA,2050,3074,152,1864,1991,154,2209,2607,152
"Ireland",2640,3112,112,3220,3893,125,3933,4348,124,3297,4031,122
"Italy",NA,NA,NA,2011,2057,98,2329,2383,107,2318,2386,104
"Latvia",NA,NA,NA,941,541,150,673,611,140,993,696,156
"Lithuania",704,347,133,880,476,135,1004,594,137,1099,689,147
"Luxembourg",NA,NA,NA,4135,4641,129,NA,NA,NA,4990,6010,143
"Macedonia",NA,NA,NA,NA,NA,NA,1459,565,167,1240,577,182
"Malta",NA,NA,NA,865,1390,136,NA,NA,NA,2281,1845,148
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,774,175
"Netherlands",2088,2130,111,1886,2010,110,2241,2497,108,2406,2643,108
"Norway",NA,NA,NA,2768,3670,140,2710,4002,134,3067,4492,137
"Poland",1091,645,114,1204,700,118,1482,885,114,1795,1002,125
"Portugal",NA,NA,NA,2899,2356,152,2550,2113,151,2338,1904,154
"Romania",731,301,189,1055,527,176,1001,496,168,1159,616,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,663,173
"Slovakia",827,360,175,785,535,162,1162,778,154,1409,955,164
"Slovenia",2746,1886,170,2674,1996,176,2641,2222,165,2518,2056,177
"Spain",2375,2024,152,2446,2209,139,2608,2453,137,2546,2350,139
"Sweden",NA,NA,NA,2117,2551,150,2186,2704,152,2593,3255,156
"Switzerland",NA,NA,NA,NA,NA,NA,2682,3846,99,2919,4346,101
"Turkey",NA,NA,NA,2056,1183,176,3361,2077,181,3699,2212,186
"United Kingdom",3015,3462,123,3290,3713,122,2811,2971,130,2679,3255,131
