"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1203,1200,143,1230,1293,136,1191,1314,129,1370,1450,130
"Belgium","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1773,1775,155,1616,1752,135,1723,1912,135,2422,2633,158
"Bulgaria","Industry and construction","Service and sales workers","From 40 to 49 years","Females",232,94,176,310,118,174,427,190,160,445,213,177
"Croatia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1079,760,169,NA,NA,NA
"Cyprus","Industry and construction","Service and sales workers","From 40 to 49 years","Females",802,735,172,640,969,167,1298,1153,177,NA,NA,NA
"Czech Rep.","Industry and construction","Service and sales workers","From 40 to 49 years","Females",508,262,167,677,411,170,737,533,172,803,511,169
"Denmark","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1729,2226,132,1897,2602,137,2446,3341,143,2664,3707,148
"Estonia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",468,245,180,556,355,170,642,441,163,1013,766,180
"Finland","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1473,1747,163,1586,1849,159,1976,2361,157,2059,2519,150
"France","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1427,1432,125,1668,1849,141,1588,1785,144,1727,1860,152
"Germany","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1155,1195,133,1147,1179,120,1338,1398,122,1306,1325,121
"Greece","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1157,966,167,1523,1308,184,1433,1319,163,1407,1202,162
"Hungary","Industry and construction","Service and sales workers","From 40 to 49 years","Females",640,343,177,534,319,168,672,401,158,964,555,166
"Iceland","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1101,1441,117,1664,2495,161,1770,1890,160,1819,2147,149
"Ireland","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1680,1980,134,NA,NA,NA,2610,2886,152,2452,2998,164
"Italy","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1670,1569,164,1484,1518,156,1770,1811,159,2042,2102,169
"Latvia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",301,152,171,371,213,169,306,278,146,574,403,165
"Lithuania","Industry and construction","Service and sales workers","From 40 to 49 years","Females",446,220,177,487,263,171,570,337,164,543,341,171
"Luxembourg","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1344,1509,141,NA,NA,NA,1756,2115,171
"Macedonia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,773,300,167,582,271,178
"Malta","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1508,1538,132,1175,1252,109,1341,1494,109,1559,1713,113
"Norway","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1693,2473,134,2224,2948,139,2120,3131,134,2394,3506,134
"Poland","Industry and construction","Service and sales workers","From 40 to 49 years","Females",552,326,186,572,332,172,771,461,165,906,506,179
"Portugal","Industry and construction","Service and sales workers","From 40 to 49 years","Females",571,437,150,794,646,170,795,659,167,1110,904,172
"Romania","Industry and construction","Service and sales workers","From 40 to 49 years","Females",292,120,188,439,219,180,510,253,171,528,281,184
"Serbia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,715,361,184
"Slovakia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",490,213,174,445,303,167,689,461,159,830,563,176
"Slovenia","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1028,706,165,1080,806,177,1335,1123,162,1317,1075,175
"Spain","Industry and construction","Service and sales workers","From 40 to 49 years","Females",950,809,164,1144,1034,158,1058,995,143,1246,1150,160
"Sweden","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1313,1643,145,1748,2107,157,1846,2283,147,2307,2897,161
"Switzerland","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1800,2581,117,2082,3099,117
"Turkey","Industry and construction","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,644,371,198,745,461,196,851,509,198
"United Kingdom","Industry and construction","Service and sales workers","From 40 to 49 years","Females",1180,1355,131,1530,1727,133,1456,1538,142,1747,2122,150
