"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",2653,2648,163,2748,2889,158,2651,2925,150,2875,3042,153
"Belgium",2412,2415,164,2567,2783,154,2856,3171,154,3208,3487,158
"Bulgaria",446,181,181,662,252,175,872,387,167,1031,494,183
"Croatia",NA,NA,NA,NA,NA,NA,1428,1006,165,NA,NA,NA
"Cyprus",1515,1388,169,1087,1645,165,2412,2142,166,2017,1816,167
"Czech Rep.",867,448,166,1163,707,167,1231,891,167,1449,923,168
"Denmark",2518,3243,155,2743,3762,156,3154,4308,156,3345,4654,157
"Estonia",745,390,176,910,581,168,1154,793,165,1345,1017,179
"Finland",1933,2293,165,2164,2524,162,2464,2944,162,2757,3372,163
"France",2141,2148,145,2274,2520,146,2210,2483,146,2474,2664,150
"Germany",2492,2578,147,2657,2731,143,3039,3175,142,3256,3304,143
"Greece",1624,1356,170,2021,1735,175,2305,2122,165,1874,1601,170
"Hungary",945,506,184,1043,622,182,1105,660,168,1444,831,171
"Iceland",2202,2884,167,2344,3515,165,2075,2216,158,2559,3020,169
"Ireland",2611,3078,156,2857,3453,173,3114,3443,155,3191,3902,164
"Italy",2423,2276,174,2055,2102,166,2157,2208,158,2376,2445,171
"Latvia",684,345,179,802,461,167,587,534,146,957,671,161
"Lithuania",646,318,177,865,467,171,859,508,168,1029,645,169
"Luxembourg",2884,2951,167,3660,4108,166,2221,2687,124,3043,3665,154
"Macedonia",NA,NA,NA,NA,NA,NA,1198,464,167,1605,746,182
"Malta",NA,NA,NA,NA,NA,NA,2167,1584,170,2029,1641,171
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1378,764,181
"Netherlands",2736,2790,150,1945,2073,125,2240,2495,131,2459,2701,134
"Norway",2526,3689,152,3123,4140,154,3461,5112,155,3924,5747,156
"Poland",972,575,185,1110,645,173,1266,757,167,1694,946,183
"Portugal",1702,1303,168,1672,1358,170,1592,1319,171,1585,1291,173
"Romania",504,207,185,735,367,176,958,474,169,1049,557,185
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1334,673,186
"Slovakia",771,335,172,787,536,168,1171,783,160,1368,928,173
"Slovenia",1676,1151,174,1757,1312,176,1894,1593,166,2246,1834,180
"Spain",2110,1798,180,2094,1891,167,2133,2007,166,2291,2115,165
"Sweden",1945,2434,164,2388,2878,164,2619,3240,168,3069,3854,170
"Switzerland",NA,NA,NA,NA,NA,NA,3353,4808,150,3237,4819,147
"Turkey",NA,NA,NA,1329,764,196,1901,1175,193,2051,1227,197
"United Kingdom",2558,2938,150,2501,2823,154,2417,2554,155,2546,3094,158
