"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1962,2063,143,1907,2105,137,2076,2197,136
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,2041,2213,143,2236,2482,140,2490,2707,150
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",314,127,181,445,170,172,645,286,162,706,338,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1342,945,169,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,947,1433,163,2017,1792,165,1814,1634,163
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",716,370,166,889,541,165,1033,747,164,1187,756,165
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,2281,3128,146,2704,3693,148,2808,3907,148
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,715,457,170,901,619,166,1170,885,179
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1806,2106,157,1995,2384,156,2102,2571,158
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1578,1749,140,1623,1824,140,1864,2007,142
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,2152,2213,133,1821,1903,123,2219,2252,128
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1783,1531,170,1865,1717,167,1754,1498,166
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",680,365,181,797,476,177,1001,598,162,1112,640,164
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1696,2542,155,1680,1795,155,2016,2380,157
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",1664,1962,129,1999,2417,139,2289,2530,135,2284,2793,139
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,1893,1936,151,1921,1965,150,1940,1996,158
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,613,352,168,509,463,152,873,612,161
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",502,247,172,647,350,166,702,415,152,785,492,166
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,2267,2545,144,2590,3132,140,2756,3319,150
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1235,478,168,914,425,182
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,597,959,145,1421,1039,141,1555,1258,144
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1124,624,179
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Clerical support workers","From 40 to 49 years","Females",1428,1456,110,1318,1404,107,1492,1662,107,1602,1759,109
