"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3932,4135,163,4099,4524,160,4421,4679,161
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,4169,4520,155,4655,5167,155,5548,6030,163
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",653,265,183,1130,431,175,1612,716,165,2077,994,181
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,3600,2535,168,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,2718,4113,167,5244,4658,NA,4024,3625,158
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1208,624,168,1625,988,165,2195,1588,170,2713,1728,170
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3710,5089,158,4465,6098,159,4818,6704,159
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,1501,959,174,2075,1426,167,2300,1739,178
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3367,3926,161,4260,5089,160,4617,5646,161
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3424,3795,162,3751,4215,160,4315,4647,167
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3832,3940,154,4054,4235,147,5833,5920,159
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3561,3056,172,3089,2843,166,3309,2827,168
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1456,780,185,1681,1004,180,2092,1250,167,2254,1297,172
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,2929,4391,163,3064,3272,169,4026,4751,175
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",3553,4189,147,3339,4036,160,4171,4611,157,3502,4283,134
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,4591,4697,162,4492,4597,152,4620,4755,162
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,1210,695,171,956,869,156,1653,1159,169
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1015,500,182,1255,678,170,1267,749,157,1526,957,168
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,5430,6096,166,5518,6675,163,5930,7142,170
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,2558,991,168,1938,902,183
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,1188,1908,163,2754,2014,168,2994,2422,165
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,2358,1308,178
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",2324,2370,131,2545,2713,133,3323,3702,136,3961,4350,146
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3988,5288,157,4137,6111,157,4583,6712,157
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1782,1053,183,2093,1217,175,2459,1469,165,3328,1858,180
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3290,2673,161,4143,3434,163,3578,2914,164
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1110,457,187,1812,905,177,2352,1165,169,2274,1208,183
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,993,184
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",1245,541,172,1380,941,167,2063,1381,161,2348,1592,170
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",2864,1967,175,3921,2927,176,3869,3255,167,4045,3303,176
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",4213,3591,176,3509,3169,168,3955,3721,166,4044,3733,167
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",3278,4103,169,3496,4212,168,3763,4655,169,4394,5517,171
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,5033,7218,154,5041,7505,153
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",NA,NA,NA,3519,2024,192,4253,2628,190,5124,3064,193
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Managers","From 40 to 49 years","Females",3461,3975,156,3861,4357,156,3575,3778,153,3744,4549,154
