"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1791,1883,137,1887,2083,135,2121,2245,134
"Belgium",NA,NA,NA,2181,2364,131,2532,2811,134,2851,3099,138
"Bulgaria",383,155,181,573,218,173,804,357,163,926,443,179
"Croatia",NA,NA,NA,NA,NA,NA,1549,1091,167,NA,NA,NA
"Cyprus",NA,NA,NA,1277,1933,163,2459,2184,162,2284,2057,160
"Czech Rep.",897,464,167,1129,686,166,1253,907,168,1376,877,167
"Denmark",NA,NA,NA,2357,3232,142,2867,3916,145,2952,4108,142
"Estonia",NA,NA,NA,886,566,165,1106,760,157,1298,981,169
"Finland",NA,NA,NA,2034,2372,159,2343,2799,158,2504,3062,158
"France",NA,NA,NA,2022,2241,142,2110,2371,142,2385,2569,144
"Germany",NA,NA,NA,2141,2201,131,2195,2293,128,2380,2416,127
"Greece",NA,NA,NA,1931,1658,166,1940,1785,157,1863,1592,156
"Hungary",858,460,184,1063,634,177,1204,719,164,1422,818,169
"Iceland",NA,NA,NA,1878,2816,151,1830,1954,152,2160,2549,148
"Ireland",2177,2566,118,2483,3001,135,2886,3191,135,2705,3308,131
"Italy",NA,NA,NA,1880,1923,135,2065,2113,139,2101,2163,145
"Latvia",NA,NA,NA,772,444,163,623,566,149,1004,704,162
"Lithuania",634,312,162,823,445,158,874,517,150,1009,633,161
"Luxembourg",NA,NA,NA,2846,3195,143,2996,3624,142,3443,4146,152
"Macedonia",NA,NA,NA,NA,NA,NA,1409,546,167,1208,562,181
"Malta",NA,NA,NA,753,1209,144,1814,1326,145,1965,1589,152
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,732,177
"Netherlands",1697,1731,109,1552,1654,107,1802,2007,107,2056,2258,111
"Norway",NA,NA,NA,2565,3400,139,2617,3865,133,2998,4391,136
"Poland",988,584,167,1158,673,150,1416,846,142,1802,1006,158
"Portugal",NA,NA,NA,1786,1451,162,1847,1531,160,1779,1449,162
"Romania",567,233,185,817,408,176,992,492,167,1095,582,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,618,181
"Slovakia",717,312,170,734,500,165,1094,732,158,1318,894,168
"Slovenia",1723,1183,169,1872,1397,177,2045,1720,165,2177,1778,176
"Spain",1925,1640,164,1836,1658,151,1937,1822,151,2027,1871,151
"Sweden",1944,2433,156,1946,2345,147,2202,2724,152,2618,3287,155
"Switzerland",NA,NA,NA,NA,NA,NA,2310,3312,119,2808,4180,122
"Turkey",NA,NA,NA,1819,1046,192,2125,1313,191,2125,1271,193
"United Kingdom",1979,2273,129,2231,2517,130,2134,2255,132,2168,2634,134
