"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1186,1247,130,1307,1442,131,1447,1531,128
"Belgium","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1542,1671,127,1708,1896,126,1824,1983,123
"Bulgaria","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",209,85,180,308,118,171,456,202,161,531,254,179
"Croatia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1066,751,169,NA,NA,NA
"Cyprus","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,706,1068,168,1347,1196,169,1221,1100,165
"Czech Rep.","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",573,296,167,670,407,165,791,572,168,861,548,167
"Denmark","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1757,2410,133,2108,2879,135,2016,2806,126
"Estonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,597,381,174,686,472,166,834,631,178
"Finland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1553,1811,157,1756,2098,156,1859,2273,155
"France","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1463,1621,139,1452,1632,137,1633,1759,139
"Germany","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1318,1355,117,1446,1511,118,1384,1405,112
"Greece","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1534,1317,177,1358,1250,158,1221,1043,149
"Hungary","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",506,271,181,640,382,176,741,443,161,792,456,170
"Iceland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1306,1958,146,1214,1297,139,1298,1532,126
"Ireland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",1119,1320,113,1322,1598,124,1774,1961,128,1660,2030,119
"Italy","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1294,1324,136,1384,1416,140,1428,1470,144
"Latvia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,425,244,171,364,331,152,611,428,165
"Lithuania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",345,170,177,474,256,171,520,308,163,635,398,178
"Luxembourg","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1652,1855,140,1761,2130,142,1951,2350,148
"Macedonia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,832,322,167,646,301,178
"Malta","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,568,912,145,1285,939,142,1462,1183,151
"Montenegro","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,752,417,178
"Netherlands","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",1125,1147,94,995,1061,94,1183,1318,95,1347,1480,99
"Norway","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,1691,2242,118,1763,2603,112,1961,2872,113
"Poland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",572,338,186,613,356,171,771,461,165,961,537,178
"Portugal","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,769,624,168,852,707,163,866,705,166
"Romania","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",268,110,185,405,202,178,480,238,168,545,290,180
"Serbia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,702,354,182
"Slovakia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",587,255,173,456,311,166,683,457,158,839,569,168
"Slovenia","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",993,682,160,1055,788,177,1190,1001,165,1260,1029,173
"Spain","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",1276,1088,161,1202,1085,147,1236,1163,144,1270,1172,143
"Sweden","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",1298,1624,133,1492,1797,135,1669,2064,139,1907,2394,141
"Switzerland","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,NA,NA,NA,1670,2395,111,1878,2795,112
"Turkey","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",NA,NA,NA,651,375,198,750,463,195,810,484,195
"United Kingdom","Industry, construction and services (except public administration, defense, compulsory social security)","Service and sales workers","From 40 to 49 years","Females",1024,1176,112,1162,1312,115,1194,1262,120,1174,1426,124
