"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",231,94,183,355,135,173,345,153,151,NA,NA,NA
"Croatia",NA,NA,NA,NA,NA,NA,897,632,169,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",533,275,168,757,460,173,748,541,179,927,590,174
"Denmark",NA,NA,NA,2015,2763,146,2417,3301,145,2324,3234,137
"Estonia",NA,NA,NA,560,358,168,NA,NA,NA,816,617,173
"Finland",NA,NA,NA,1512,1763,164,1763,2107,164,1829,2237,165
"France",NA,NA,NA,865,959,108,NA,NA,NA,2078,2238,131
"Germany",NA,NA,NA,1401,1440,137,1483,1549,133,1533,1555,127
"Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary",544,292,192,500,299,181,669,400,167,843,485,171
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,1350,1382,157,NA,NA,NA
"Latvia",NA,NA,NA,523,300,169,451,410,151,717,503,168
"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",877,895,94,1080,1151,122,808,900,72,1075,1181,101
"Norway",NA,NA,NA,1875,2487,129,2210,3264,156,2201,3223,130
"Poland",648,383,188,820,476,176,678,405,167,960,536,180
"Portugal",NA,NA,NA,789,641,172,806,668,168,814,663,173
"Romania",306,126,196,360,180,177,472,234,169,563,299,186
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",466,203,175,429,293,172,628,420,161,706,479,173
"Slovenia",NA,NA,NA,1024,764,181,1220,1026,157,1309,1069,172
"Spain",NA,NA,NA,1209,1092,148,1545,1453,156,1473,1360,163
"Sweden",NA,NA,NA,1619,1951,160,1758,2174,161,2139,2686,168
"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,1709,2545,102
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
