"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,2155,2266,139,2206,2435,139,2442,2584,140
"Belgium",NA,NA,NA,2224,2411,133,2613,2901,136,2828,3074,139
"Bulgaria",390,158,181,605,231,173,898,399,164,1046,501,178
"Croatia",NA,NA,NA,NA,NA,NA,1600,1127,166,NA,NA,NA
"Cyprus",NA,NA,NA,1241,1879,167,2840,2523,168,2556,2302,166
"Czech Rep.",912,472,168,1162,707,167,1319,955,169,1467,934,168
"Denmark",NA,NA,NA,2462,3376,144,3037,4148,152,3173,4415,152
"Estonia",NA,NA,NA,858,548,163,1151,791,162,1401,1059,174
"Finland",NA,NA,NA,2046,2386,160,2348,2805,160,2482,3035,160
"France",NA,NA,NA,2090,2317,141,2059,2314,141,2259,2433,143
"Germany",NA,NA,NA,2194,2256,133,2431,2540,131,2495,2532,131
"Greece",NA,NA,NA,1987,1706,171,2098,1931,175,2122,1813,175
"Hungary",807,433,184,982,586,178,1145,684,166,1222,703,170
"Iceland",NA,NA,NA,1730,2593,146,1798,1921,150,2147,2534,148
"Ireland",1983,2338,116,2524,3051,142,2976,3290,144,2854,3489,141
"Italy",NA,NA,NA,1954,1999,149,2302,2356,150,2268,2335,159
"Latvia",NA,NA,NA,729,419,161,647,588,153,1006,706,163
"Lithuania",514,253,166,713,386,164,797,471,157,878,550,163
"Luxembourg",NA,NA,NA,3470,3895,141,3450,4174,139,3337,4019,149
"Macedonia",NA,NA,NA,NA,NA,NA,1267,491,168,1262,587,182
"Malta",NA,NA,NA,684,1100,137,1892,1384,159,1920,1553,157
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1357,753,177
"Netherlands",1652,1685,107,1484,1581,105,1855,2066,111,1953,2145,112
"Norway",NA,NA,NA,2591,3436,141,2883,4257,145,3238,4742,146
"Poland",868,513,180,1059,616,167,1230,735,161,1584,884,177
"Portugal",NA,NA,NA,1845,1499,161,1904,1579,165,1915,1560,168
"Romania",528,217,185,750,374,176,877,434,167,938,499,180
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1182,596,184
"Slovakia",765,333,173,724,494,166,1163,778,160,1359,921,172
"Slovenia",1797,1234,173,1809,1350,178,1895,1594,166,2127,1737,178
"Spain",2080,1773,173,2112,1907,160,2097,1973,159,2251,2078,160
"Sweden",1957,2449,160,2036,2453,153,2429,3005,161,2809,3527,163
"Switzerland",NA,NA,NA,NA,NA,NA,2848,4085,129,3059,4554,129
"Turkey",NA,NA,NA,1588,914,194,1954,1207,193,1942,1161,197
"United Kingdom",2263,2599,134,2475,2793,134,2150,2272,140,2096,2546,142
