"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",6887,6872,172,4040,4248,162,4320,4768,164,4617,4885,163
"Belgium",4233,4239,170,4349,4715,159,4640,5151,154,5673,6167,165
"Bulgaria",840,340,182,1678,640,173,2174,965,165,2747,1315,181
"Croatia",NA,NA,NA,NA,NA,NA,3935,2771,169,NA,NA,NA
"Cyprus",3511,3217,167,2821,4270,169,5310,4716,166,4057,3655,168
"Czech Rep.",1121,579,168,1612,980,166,2457,1778,170,3098,1974,170
"Denmark",3739,4815,158,4104,5629,158,4748,6484,159,5098,7093,159
"Estonia",1179,618,181,1702,1087,173,2334,1604,167,2573,1946,177
"Finland",3169,3758,162,3500,4082,161,4619,5518,161,5098,6235,162
"France",3339,3350,142,3342,3704,163,3816,4289,161,4431,4772,168
"Germany",3675,3803,165,3996,4109,158,5212,5445,157,6409,6504,159
"Greece",2481,2071,168,3863,3316,169,3058,2814,167,3488,2980,169
"Hungary",1630,874,184,1802,1076,181,2344,1400,167,2501,1439,171
"Iceland",NA,NA,NA,3461,5190,164,3587,3831,165,4582,5407,166
"Ireland",3080,3631,145,3138,3793,163,4224,4671,155,3452,4221,134
"Italy",4740,4452,164,4879,4992,167,4141,4238,146,3951,4067,158
"Latvia",866,437,176,1197,688,170,1001,910,153,1900,1333,164
"Lithuania",1190,586,177,1345,727,169,1135,671,151,1576,989,164
"Luxembourg",5003,5120,166,5541,6221,165,5641,6824,164,5983,7206,170
"Macedonia",NA,NA,NA,NA,NA,NA,2960,1146,168,1711,796,183
"Malta",2807,2027,NA,1393,2238,171,2941,2150,171,3225,2609,167
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,3291,1826,178
"Netherlands",2002,2042,134,2649,2824,135,3685,4105,146,4274,4693,152
"Norway",3447,5034,158,4066,5390,158,4289,6334,158,4737,6938,158
"Poland",1952,1154,185,2187,1271,173,2831,1692,164,3703,2068,179
"Portugal",4815,3687,167,3426,2783,161,4579,3796,164,3861,3145,164
"Romania",1332,548,185,2253,1125,175,2731,1353,167,2618,1391,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2305,1163,184
"Slovakia",1218,529,169,1521,1037,168,2110,1412,161,2542,1723,171
"Slovenia",3024,2077,175,4224,3153,175,4059,3414,168,4209,3437,176
"Spain",4549,3877,178,3516,3175,168,4149,3903,168,4207,3883,168
"Sweden",3204,4009,169,4040,4869,169,4010,4960,168,4887,6137,171
"Switzerland",NA,NA,NA,NA,NA,NA,5344,7664,159,5374,8000,161
"Turkey",NA,NA,NA,4031,2318,189,4671,2887,188,5111,3056,192
"United Kingdom",3591,4123,157,4085,4610,158,3855,4074,156,3977,4832,157
