"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1041,1038,130,1305,1372,143,1518,1675,151,1787,1891,153
"Belgium",NA,NA,NA,1487,1612,141,1883,2090,146,2414,2624,153
"Bulgaria",287,116,183,386,147,173,655,291,165,937,448,183
"Croatia",NA,NA,NA,NA,NA,NA,1003,707,169,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1332,1183,167,1362,1227,174
"Czech Rep.",750,388,175,843,513,170,843,610,170,951,606,170
"Denmark",1975,2543,142,1792,2457,125,2357,3220,141,2353,3274,138
"Estonia",478,251,184,807,515,176,951,653,169,1003,759,180
"Finland",1448,1717,161,1772,2067,166,2002,2392,165,2097,2565,165
"France",1704,1710,134,1430,1585,143,1589,1786,141,1663,1791,135
"Germany",1171,1212,119,1316,1353,119,1429,1493,128,1535,1558,126
"Greece",1106,923,169,NA,NA,NA,1677,1543,166,1481,1265,160
"Hungary",601,322,182,664,396,179,787,470,164,834,480,165
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,1787,2160,150,1652,1827,153,1859,2273,129
"Italy",1068,1003,137,2709,2772,136,926,948,113,927,954,110
"Latvia",406,205,169,646,371,175,572,520,152,788,552,164
"Lithuania",566,279,177,669,361,170,813,481,165,882,553,183
"Luxembourg",1358,1390,143,NA,NA,NA,NA,NA,NA,1873,2255,158
"Macedonia",NA,NA,NA,NA,NA,NA,906,351,NA,618,287,181
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1165,1188,111,1222,1303,117,1267,1411,112,1358,1491,116
"Norway",1745,2549,138,2188,2900,146,2339,3455,149,2590,3794,146
"Poland",713,422,187,762,443,177,951,568,171,1221,682,185
"Portugal",778,596,157,662,538,175,779,646,174,932,759,171
"Romania",387,159,185,490,244,178,773,383,168,687,365,182
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,745,376,184
"Slovakia",642,279,168,576,393,172,758,507,165,837,568,171
"Slovenia",924,635,161,950,709,181,1205,1014,165,1369,1118,177
"Spain",1183,1008,175,1260,1138,161,1549,1458,170,1574,1453,157
"Sweden",1438,1800,158,1753,2113,162,1973,2440,159,2242,2815,165
"Switzerland",NA,NA,NA,NA,NA,NA,1843,2643,127,1779,2648,110
"Turkey",NA,NA,NA,1013,583,210,NA,NA,NA,1043,624,197
"United Kingdom",1660,1906,156,1650,1862,151,1564,1652,150,1498,1820,151
