"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1310,1307,148,1304,1371,142,1407,1553,143,1780,1884,152
"Belgium",NA,NA,NA,1524,1652,141,1844,2047,142,2202,2394,150
"Bulgaria",253,103,183,379,145,175,527,234,166,608,291,183
"Croatia",NA,NA,NA,NA,NA,NA,866,610,166,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,1576,1400,187,1012,912,155
"Czech Rep.",599,310,166,764,464,169,810,586,169,964,614,171
"Denmark",1918,2470,138,1957,2684,132,2421,3306,137,2469,3435,139
"Estonia",539,282,185,669,428,175,758,521,168,953,721,182
"Finland",1495,1773,163,1724,2010,166,1879,2245,162,2090,2555,164
"France",1571,1577,139,1619,1794,148,1525,1714,147,1576,1697,139
"Germany",1459,1509,136,1556,1599,131,1607,1679,138,1970,1999,145
"Greece",1069,892,171,2734,2347,175,1550,1427,165,1183,1011,159
"Hungary",564,302,180,619,369,179,706,422,162,819,471,164
"Iceland",1175,1539,158,1455,2181,161,1699,1815,191,1912,2256,178
"Ireland",NA,NA,NA,1474,1782,138,2022,2236,136,1913,2339,152
"Italy",1315,1235,162,1339,1370,155,1087,1113,127,1149,1183,128
"Latvia",407,205,174,518,298,171,429,389,149,703,493,164
"Lithuania",476,235,176,594,321,168,NA,NA,NA,824,517,177
"Luxembourg",1608,1646,167,NA,NA,NA,1765,2136,137,1981,2386,165
"Macedonia",NA,NA,NA,NA,NA,NA,651,252,167,575,267,180
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",1465,1494,139,1213,1293,113,1233,1374,110,1315,1444,115
"Norway",1837,2684,147,2304,3054,149,2438,3601,150,2820,4130,153
"Poland",590,349,186,633,368,172,776,464,167,1026,573,183
"Portugal",657,503,168,673,547,173,785,651,174,808,658,172
"Romania",336,138,188,459,229,180,641,317,170,736,391,185
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,791,399,186
"Slovakia",532,231,171,483,329,170,747,500,163,890,604,174
"Slovenia",NA,NA,149,886,661,178,1089,916,161,1236,1009,175
"Spain",1250,1065,176,1345,1215,162,1554,1462,172,1430,1320,156
"Sweden",1454,1820,159,1746,2104,160,2057,2545,165,2357,2959,167
"Switzerland",NA,NA,NA,NA,NA,NA,1891,2712,130,2276,3389,140
"Turkey",NA,NA,NA,829,477,201,908,561,194,756,452,197
"United Kingdom",1558,1789,153,1769,1996,171,1455,1538,157,1600,1944,156
