"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1509,1505,134,1535,1614,131,1646,1816,133,1963,2077,135
"Belgium",1991,1994,143,1996,2164,136,2166,2405,129,2611,2838,139
"Bulgaria",348,141,181,491,187,172,661,293,161,749,358,179
"Croatia",NA,NA,NA,NA,NA,NA,1373,967,168,NA,NA,NA
"Cyprus",1265,1159,170,931,1409,168,1841,1635,167,1673,1507,165
"Czech Rep.",766,396,166,960,584,167,1029,744,167,1171,746,167
"Denmark",1977,2547,135,2193,3008,135,2703,3691,138,2858,3977,136
"Estonia",581,304,177,725,463,169,865,595,161,1059,800,176
"Finland",1611,1911,156,1918,2237,158,2193,2620,156,2437,2980,158
"France",1794,1800,132,1959,2171,141,1958,2200,138,2352,2533,140
"Germany",1685,1743,126,1766,1816,124,1839,1921,124,1978,2007,121
"Greece",1353,1129,164,1750,1502,166,1875,1725,157,1644,1404,156
"Hungary",831,446,179,919,549,176,1062,635,161,1143,658,164
"Iceland",1341,1756,155,1757,2635,158,1859,1985,161,2174,2565,156
"Ireland",1487,1753,132,1642,1985,130,2365,2614,137,1984,2426,131
"Italy",1672,1570,158,1773,1814,151,1934,1979,147,2010,2069,153
"Latvia",502,253,175,628,361,168,532,483,150,856,600,160
"Lithuania",571,281,172,715,386,166,766,453,157,887,556,168
"Luxembourg",1981,2027,145,2189,2457,138,2499,3023,142,2743,3303,153
"Macedonia",NA,NA,NA,NA,NA,NA,1186,460,168,936,435,181
"Malta",1615,1167,167,641,1030,162,1499,1096,153,1637,1324,153
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1419,787,178
"Netherlands",1307,1333,108,1282,1366,104,1488,1658,106,1708,1876,110
"Norway",1890,2761,137,2315,3070,138,2578,3807,139,3123,4574,142
"Poland",1062,628,184,1092,635,167,1207,721,163,1487,830,179
"Portugal",1043,799,159,1248,1014,165,1287,1067,155,1278,1041,158
"Romania",502,207,185,663,331,176,926,459,167,929,494,181
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,589,184
"Slovakia",629,274,167,664,452,165,971,650,159,1131,767,170
"Slovenia",1572,1080,166,1528,1140,176,1644,1383,164,1789,1461,175
"Spain",1366,1164,150,1418,1281,147,1558,1466,146,1659,1531,142
"Sweden",1712,2142,154,2069,2493,155,2326,2878,158,2826,3548,159
"Switzerland",NA,NA,NA,NA,NA,NA,2114,3031,128,2602,3874,123
"Turkey",NA,NA,NA,1352,778,196,1405,868,193,1054,630,194
"United Kingdom",1507,1730,133,1827,2062,137,1735,1833,133,1788,2173,134
