"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,2039,2144,144,1812,2000,138,2014,2131,137
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1969,2134,132,2128,2362,128,2353,2558,126
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",275,112,178,454,173,173,594,264,164,651,311,177
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1281,902,166,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,635,961,159,1700,1510,154,1948,1755,158
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",676,350,164,819,498,164,1056,764,168,1088,693,166
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,2122,2911,141,2587,3533,145,2703,3761,146
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,533,340,170,669,460,160,815,616,169
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1623,1892,153,1822,2177,153,1939,2371,154
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1485,1646,133,1461,1642,131,1624,1749,131
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1930,1984,127,1774,1853,123,2064,2094,125
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1844,1583,177,1861,1713,173,1802,1539,172
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",553,296,182,779,465,175,800,478,163,877,505,167
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1290,1933,149,1388,1483,161,1437,1696,143
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",1651,1947,125,2020,2442,131,2185,2416,122,2217,2711,122
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1728,1768,131,1752,1793,151,1883,1938,153
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,524,301,167,470,427,155,766,537,167
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",389,192,172,536,289,169,NA,NA,NA,682,427,173
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,2493,2799,120,2626,3177,141,2521,3036,123
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1130,437,168,970,451,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,366,588,104,NA,NA,NA,1369,1107,124
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1211,672,177
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",1445,1474,110,1270,1354,107,1458,1624,103,1637,1798,107
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1956,2594,133,1975,2916,128,2212,3240,129
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",849,502,181,975,567,164,1071,640,159,1352,755,174
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,1316,1070,156,1285,1065,157,1204,980,166
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",399,164,184,627,313,179,670,332,165,744,396,179
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,822,415,179
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",529,230,173,511,348,162,864,578,156,942,639,155
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",1375,944,156,1556,1161,175,1650,1388,166,1660,1355,176
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Clerical support workers","From 50 to 59 years","Females",1646,1403,172,1766,1595,158,1756,1652,155,1795,1657,160
