"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",NA,NA,NA,1605,1687,150,1713,1890,151,1826,1932,151
"Belgium",NA,NA,NA,1397,1514,131,1480,1643,133,NA,NA,NA
"Bulgaria",252,102,163,343,131,168,570,253,162,603,289,165
"Croatia",NA,NA,NA,NA,NA,NA,1186,835,170,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.",592,306,163,717,436,170,807,584,174,903,575,176
"Denmark",NA,NA,NA,2343,3214,146,2374,3242,142,2747,3823,146
"Estonia",NA,NA,NA,547,349,161,NA,NA,NA,876,662,175
"Finland",NA,NA,NA,1344,1567,152,1632,1949,158,1765,2159,154
"France",NA,NA,NA,NA,NA,NA,1537,1728,142,1584,1706,141
"Germany",NA,NA,NA,1554,1598,126,1593,1664,130,1759,1785,132
"Greece",NA,NA,NA,NA,NA,NA,1927,1774,184,NA,NA,NA
"Hungary",597,320,178,535,319,168,690,412,157,788,454,167
"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy",NA,NA,NA,NA,NA,NA,1174,1201,138,1114,1147,135
"Latvia",NA,NA,NA,491,282,163,335,304,137,524,368,161
"Lithuania",375,185,176,478,258,162,NA,NA,NA,NA,NA,NA
"Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands",NA,NA,NA,955,1018,90,1302,1450,105,1152,1265,93
"Norway",NA,NA,NA,2008,2663,136,2154,3181,140,2421,3546,141
"Poland",634,375,183,629,366,168,892,533,161,972,543,176
"Portugal",NA,NA,NA,773,628,166,880,730,160,771,628,168
"Romania",313,129,187,428,214,179,441,218,165,522,277,183
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovakia",509,221,181,405,276,163,731,489,156,823,558,168
"Slovenia",NA,NA,NA,1128,842,176,1294,1089,161,1185,968,171
"Spain",1288,1098,167,1281,1157,153,1796,1689,153,1723,1591,160
"Sweden",NA,NA,NA,1412,1701,136,1663,2057,154,2087,2620,160
"Switzerland",NA,NA,NA,NA,NA,NA,1619,2322,110,1876,2793,102
"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,1686,2049,157
