"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,3694,3884,162,3049,3365,151,4245,4492,158
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,3805,4125,138,4389,4872,148,4960,5391,150
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",550,223,183,868,331,173,1220,541,165,1410,675,181
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2675,1884,168,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,6136,5450,NA,4309,3881,145
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",1253,648,167,1513,920,162,1987,1438,173,2131,1357,170
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,3370,4622,158,4030,5504,159,4240,5899,158
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,1176,751,174,1648,1132,167,1737,1313,179
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,2821,3290,159,3476,4153,160,3774,4615,159
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,3263,3616,155,3377,3795,147,3682,3965,148
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,3433,3529,153,3758,3926,144,5153,5230,163
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,2592,2225,170,3905,3594,179,3467,2962,173
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",1301,697,186,1706,1018,178,1847,1103,170,2024,1164,174
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,2747,4119,167,2815,3007,173,3508,4140,181
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",3740,4409,132,4072,4922,162,4336,4794,153,3536,4324,123
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,4525,4630,138,5150,5270,151,4793,4934,155
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",NA,NA,NA,1183,680,173,1043,948,164,1476,1035,180
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Managers","From 50 to 59 years","Females",856,422,187,1160,627,174,1563,924,169,1546,969,177
