"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,822,907,108,1149,1216,135
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1573,1746,128,NA,NA,NA
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",266,108,184,339,129,173,490,217,165,521,249,184
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",555,287,170,609,370,164,734,531,180,742,473,173
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2162,2953,137,2023,2815,128
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,485,310,170,588,404,156,772,584,181
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1433,1671,165,1540,1840,164,1594,1949,162
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1850,2050,174,855,960,119,NA,NA,NA
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1290,1326,124,1199,1253,132,1078,1094,118
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",518,278,180,593,354,164,762,455,161,735,423,162
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1446,1599,133,NA,NA,NA
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1575,1612,165,1353,1385,158,1382,1422,156
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,404,233,168,335,304,152,911,639,176
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",331,163,179,495,268,166,NA,NA,NA,NA,NA,NA
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
