"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2162,2274,137,2102,2320,137,2253,2384,136
"Belgium","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2248,2437,127,2651,2943,126,2651,2882,119
"Bulgaria","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",346,140,180,522,199,172,715,317,158,823,394,172
"Croatia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1669,1176,166,NA,NA,NA
"Cyprus","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,1624,2457,172,2714,2410,168,2811,2532,166
"Czech Rep.","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",974,504,167,1155,702,167,1366,989,171,1407,896,169
"Denmark","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2380,3264,143,2831,3866,149,2904,4041,149
"Estonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,702,448,159,994,683,157,1125,850,171
"Finland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,1917,2236,159,2205,2634,159,2306,2820,160
"France","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2115,2343,133,2062,2318,136,2238,2410,140
"Germany","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2105,2164,134,2081,2173,128,2365,2400,133
"Greece","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2048,1758,165,2037,1875,180,2135,1824,183
"Hungary","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",683,366,185,929,554,176,991,592,166,1006,579,170
"Iceland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,1570,2353,143,1426,1523,142,1787,2109,143
"Ireland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2585,3124,134,3037,3358,135,2435,2977,122
"Italy","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2184,2234,143,2315,2369,149,2185,2249,157
"Latvia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,651,374,161,539,490,157,854,599,169
"Lithuania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",477,235,159,648,350,164,668,395,153,752,472,171
"Luxembourg","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,3738,4197,NA,3849,4656,NA,3899,4695,133
"Macedonia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1242,481,168,1060,493,183
"Malta","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,838,1346,NA,NA,NA,NA,2401,1942,155
"Montenegro","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,665,180
"Netherlands","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",1499,1528,100,1400,1492,104,1676,1867,105,1747,1919,103
"Norway","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,2286,3031,133,2420,3574,136,2633,3856,135
"Poland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",834,493,177,1003,583,156,1075,643,154,1299,725,172
"Portugal","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,1707,1387,155,1552,1287,158,1340,1091,168
"Romania","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",563,232,185,838,418,177,748,371,166,760,404,178
"Serbia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1042,526,183
"Slovakia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",747,325,175,639,436,161,1027,687,156,1167,791,169
"Slovenia","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",2005,1377,172,1931,1442,180,1991,1675,167,1949,1591,177
"Spain","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",1736,1480,159,1914,1728,145,1914,1801,147,1977,1825,150
"Sweden","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,1863,2245,149,1987,2458,157,2287,2871,158
"Switzerland","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2814,4036,128,2904,4324,122
"Turkey","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",NA,NA,NA,912,525,171,NA,NA,NA,1349,807,196
"United Kingdom","Education, human health and social work activities, arts, entertainment and recreation, other service activities","Technicians and associate professionals","From 50 to 59 years","Females",2248,2582,133,2493,2814,135,1948,2058,135,1878,2282,137
