"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1338,1335,151,1372,1443,149,1469,1622,148,1906,2017,159
"Belgium","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,1589,1723,145,1829,2031,143,2178,2367,150
"Bulgaria","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",248,101,184,381,145,175,527,234,166,613,294,183
"Croatia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,801,564,166,NA,NA,NA
"Cyprus","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",593,306,166,762,463,169,812,588,170,966,615,171
"Denmark","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1930,2485,137,1999,2742,133,2458,3357,136,2541,3536,138
"Estonia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",543,285,185,667,426,175,760,522,168,953,721,182
"Finland","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1511,1793,164,1727,2014,166,1883,2250,162,2116,2588,165
"France","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1515,1520,144,1640,1817,148,1563,1757,150,1623,1748,142
"Germany","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1676,1734,152,1712,1760,144,1637,1710,140,2083,2114,150
"Greece","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1059,884,172,NA,NA,NA,1459,1343,164,1179,1007,157
"Hungary","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",566,303,181,619,370,179,699,417,161,848,488,164
"Iceland","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,1448,2171,160,1691,1806,191,1931,2279,179
"Ireland","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2010,2223,134,2016,2465,165
"Italy","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1311,1231,164,1383,1415,160,1535,1571,159,1842,1896,172
"Latvia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",408,206,174,509,293,171,419,381,149,706,495,163
"Lithuania","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",480,236,176,599,323,168,NA,NA,NA,765,480,176
"Luxembourg","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,568,264,180
"Malta","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1559,1590,154,1310,1396,120,1375,1532,121,1387,1523,117
"Norway","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1919,2803,152,2331,3091,152,2353,3476,150,2728,3995,154
"Poland","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",579,343,186,632,367,172,777,464,167,1026,573,183
"Portugal","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",678,519,171,666,541,173,765,634,174,806,656,172
"Romania","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",332,137,189,453,226,180,625,310,171,741,394,186
"Serbia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,756,381,186
"Slovakia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",523,227,173,484,330,170,748,501,163,894,606,174
"Slovenia","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,149,855,638,178,1083,911,161,1229,1004,176
"Spain","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1214,1035,177,1392,1257,166,1549,1457,173,1441,1330,157
"Sweden","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1499,1876,161,1830,2205,163,2066,2555,166,2361,2965,166
"Switzerland","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,1889,2709,131,2545,3789,156
"Turkey","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,730,436,200
"United Kingdom","Industry and construction","Craft and related trades workers","From 50 to 59 years","Females",1723,1978,165,1866,2106,174,1517,1604,163,1693,2057,163
