"GEO","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria",1196,1194,143,1201,1263,135,1194,1317,129,1362,1441,130
"Belgium",1549,1551,151,1347,1460,129,1557,1729,129,2066,2246,145
"Bulgaria",250,101,179,339,129,175,445,198,162,515,247,180
"Croatia",NA,NA,NA,NA,NA,NA,831,585,170,NA,NA,NA
"Cyprus",921,844,173,675,1021,171,1244,1105,172,1180,1063,172
"Czech Rep.",529,274,161,672,409,164,703,509,167,801,510,165
"Denmark",1768,2277,132,1823,2500,127,2088,2851,126,2217,3085,131
"Estonia",431,226,175,498,318,166,622,427,160,878,664,177
"Finland",1526,1809,162,1715,2000,162,1836,2193,153,1962,2400,157
"France",991,995,111,1252,1388,130,1388,1560,141,1586,1708,139
"Germany",1419,1468,130,1485,1527,128,1275,1331,119,1123,1140,95
"Greece",1078,900,171,1338,1148,171,1441,1326,162,1326,1133,167
"Hungary",501,269,174,525,313,164,603,360,153,737,424,154
"Iceland",NA,NA,NA,1198,1797,147,1114,1190,146,1754,2069,182
"Ireland",1209,1426,149,1420,1716,142,1575,1742,132,1786,2184,160
"Italy",1172,1101,155,1108,1134,133,1400,1432,150,1695,1745,168
"Latvia",374,189,174,419,241,167,361,328,146,607,426,155
"Lithuania",345,170,168,480,259,165,590,349,156,652,409,175
"Luxembourg",1441,1475,137,1280,1437,124,1234,1493,114,1384,1667,126
"Macedonia",NA,NA,NA,NA,NA,NA,859,333,170,639,297,176
"Malta",1106,799,170,558,896,166,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,1010,560,180
"Netherlands",1053,1074,141,935,996,97,1077,1200,106,1097,1204,109
"Norway",1598,2334,125,1637,2170,112,1845,2724,110,2267,3321,118
"Poland",624,369,185,652,379,165,782,467,162,1014,566,179
"Portugal",608,465,165,679,552,170,758,628,161,815,664,173
"Romania",278,114,191,334,167,177,487,241,171,561,298,184
"Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,709,358,188
"Slovakia",464,202,166,441,301,161,653,437,154,759,515,166
"Slovenia",843,579,152,788,588,178,993,835,160,1109,906,172
"Spain",883,753,130,1092,987,142,1209,1137,147,1284,1185,145
"Sweden",1253,1568,144,1409,1698,144,1615,1998,143,1763,2213,141
"Switzerland",NA,NA,NA,NA,NA,NA,1726,2475,146,2008,2990,128
"Turkey",NA,NA,NA,653,376,199,NA,NA,NA,741,443,197
"United Kingdom",1233,1416,139,1522,1717,154,1255,1326,144,1241,1508,138
