"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Managers","From 50 to 59 years","Females",3760,3752,168,3557,3740,154,3623,3998,146,5444,5761,166
"Belgium","Industry and construction","Managers","From 50 to 59 years","Females",3727,3732,163,4597,4983,167,5822,6463,165,6690,7272,163
"Bulgaria","Industry and construction","Managers","From 50 to 59 years","Females",602,244,183,998,381,174,1388,616,166,1691,810,183
"Croatia","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,3511,2473,169,NA,NA,NA
"Cyprus","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czech Rep.","Industry and construction","Managers","From 50 to 59 years","Females",1505,778,167,1849,1124,170,2248,1627,170,2943,1875,168
"Denmark","Industry and construction","Managers","From 50 to 59 years","Females",3139,4043,158,3833,5257,158,4673,6382,159,5052,7029,159
"Estonia","Industry and construction","Managers","From 50 to 59 years","Females",1136,595,184,1391,889,175,1787,1228,168,2248,1700,185
"Finland","Industry and construction","Managers","From 50 to 59 years","Females",3482,4130,163,4359,5084,159,5443,6502,162,6114,7477,163
"France","Industry and construction","Managers","From 50 to 59 years","Females",3785,3797,147,4023,4458,165,4003,4499,162,5037,5424,173
"Germany","Industry and construction","Managers","From 50 to 59 years","Females",3498,3620,158,4253,4372,158,5399,5640,153,5485,5567,163
"Greece","Industry and construction","Managers","From 50 to 59 years","Females",3890,3247,167,5267,4521,178,4999,4601,166,5221,4461,167
"Hungary","Industry and construction","Managers","From 50 to 59 years","Females",1786,957,183,1932,1153,179,2627,1569,164,3026,1741,170
"Iceland","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,3576,5362,189,3134,3348,171,4375,5163,167
"Ireland","Industry and construction","Managers","From 50 to 59 years","Females",3933,4637,141,2520,3047,154,4193,4636,159,4747,5804,162
"Italy","Industry and construction","Managers","From 50 to 59 years","Females",5184,4870,178,5926,6063,175,7082,7247,169,6187,6368,181
"Latvia","Industry and construction","Managers","From 50 to 59 years","Females",884,446,182,1110,638,173,916,833,155,1521,1067,168
"Lithuania","Industry and construction","Managers","From 50 to 59 years","Females",1099,541,180,1364,737,173,1410,834,167,2159,1354,171
"Luxembourg","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2118,820,168,1753,815,183
"Malta","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Managers","From 50 to 59 years","Females",2222,2266,147,1944,2072,138,3466,3862,144,4612,5065,144
"Norway","Industry and construction","Managers","From 50 to 59 years","Females",3686,5384,161,4303,5705,160,5013,7403,160,6165,9029,160
"Poland","Industry and construction","Managers","From 50 to 59 years","Females",2157,1275,186,2452,1425,171,2398,1433,163,3052,1704,181
"Portugal","Industry and construction","Managers","From 50 to 59 years","Females",3496,2677,168,4918,3995,168,2019,1674,172,2790,2272,171
"Romania","Industry and construction","Managers","From 50 to 59 years","Females",1163,478,186,1696,846,177,2029,1005,165,2195,1166,183
"Serbia","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1703,859,183
"Slovakia","Industry and construction","Managers","From 50 to 59 years","Females",1283,558,173,1473,1004,165,1940,1298,158,2424,1644,172
"Slovenia","Industry and construction","Managers","From 50 to 59 years","Females",3985,2737,170,4491,3352,176,4353,3662,167,4265,3483,180
"Spain","Industry and construction","Managers","From 50 to 59 years","Females",3744,3191,179,4436,4007,171,4341,4084,171,4980,4597,169
"Sweden","Industry and construction","Managers","From 50 to 59 years","Females",3469,4342,168,4103,4944,166,4597,5686,171,5346,6713,168
"Switzerland","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,5054,7248,164,6145,9148,166
"Turkey","Industry and construction","Managers","From 50 to 59 years","Females",NA,NA,NA,4300,2473,188,3147,1945,189,3980,2380,174
"United Kingdom","Industry and construction","Managers","From 50 to 59 years","Females",2818,3236,153,3337,3766,158,3450,3646,157,3559,4324,154
