"GEO","NACE_R2","ISCO08","AGE","SEX","PPS2002","EURO2002","HOUR2002","PPS2006","EURO2006","HOUR2006","PPS2010","EURO2010","HOUR2010","PPS2014","EURO2014","HOUR2014"
"Austria","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,166,1544,1623,159,1655,1826,158,1851,1959,163
"Belgium","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1691,1833,146,1895,2104,141,2317,2519,147
"Bulgaria","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",310,126,183,436,166,176,533,236,168,630,301,184
"Croatia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,936,659,169,NA,NA,NA
"Cyprus","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,1383,1246,161
"Czech Rep.","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",636,329,165,813,494,168,857,620,169,1020,650,169
"Denmark","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",2106,2712,150,2061,2826,141,2378,3247,137,2470,3437,140
"Estonia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",600,314,187,689,440,177,780,536,170,1022,773,186
"Finland","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1572,1865,164,1828,2132,166,2015,2407,163,2192,2681,166
"France","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1403,1408,139,1481,1641,148,1489,1674,148,1683,1812,145
"Germany","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1697,1756,152,1816,1867,146,1850,1932,147,2121,2152,154
"Greece","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1082,903,174,NA,NA,NA,1591,1464,164,1559,1332,172
"Hungary","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",663,355,186,742,443,185,854,510,168,921,530,175
"Iceland","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1102,1443,175,1678,2516,191,NA,NA,NA,1990,2349,171
"Ireland","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1628,1920,170,1725,2085,158,1933,2138,156,2164,2647,170
"Italy","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1524,1560,166,1576,1613,162,1668,1717,178
"Latvia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",547,276,181,620,356,175,467,424,155,731,513,163
"Lithuania","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",532,262,179,670,362,174,NA,NA,NA,840,527,182
"Luxembourg","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,1686,1893,158,NA,NA,NA,1876,2259,175
"Macedonia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,169,651,303,182
"Malta","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1075,777,167,NA,NA,NA,NA,NA,NA,1478,1196,152
"Montenegro","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1880,1918,156,1262,1345,125,1461,1628,132,1464,1608,129
"Norway","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1804,2635,151,2141,2839,151,2292,3386,152,2644,3872,152
"Poland","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",806,477,186,890,517,177,972,581,171,1263,705,186
"Portugal","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",707,541,170,808,657,174,772,640,173,826,673,174
"Romania","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,446,223,179,661,327,176,744,395,189
"Serbia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,NA,NA,NA,947,478,186
"Slovakia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",586,255,171,553,377,169,790,529,163,956,648,172
"Slovenia","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,919,686,177,1037,872,160,1250,1020,173
"Spain","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1321,1126,181,1417,1279,169,1501,1412,171,1660,1532,168
"Sweden","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1532,1917,160,1833,2209,161,2063,2552,162,2399,3012,165
"Switzerland","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,NA,NA,NA,2181,3128,158,2510,3737,162
"Turkey","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",NA,NA,NA,625,360,200,NA,NA,NA,726,434,200
"United Kingdom","Industry and construction","Plant and machine operators and assemblers","From 50 to 59 years","Females",1465,1682,161,1583,1787,161,1515,1601,162,1529,1858,167
